motif,count,order
divide->subtract|subtract->subtract,2,bigram
divide->divide|divide->add|add->divide|divide->multiply,2,bigram
add->add|add->add,2,bigram
subtract->divide|divide->divide|divide->multiply,2,bigram
divide->subtract|subtract->divide|divide->add|add->multiply|multiply->multiply,2,bigram
add->add|add->add|add->divide,2,bigram
multiply->divide|divide->multiply|multiply->subtract,2,bigram
subtract->choose|choose->choose|choose->divide,2,bigram
divide->divide|divide->divide|divide->add|add->add|add->divide,2,bigram
subtract->divide|divide->multiply|multiply->subtract,2,bigram
subtract->divide|divide->multiply|multiply->divide,2,bigram
multiply->divide|divide->multiply|multiply->add,2,bigram
add->add|add->multiply,2,bigram
multiply->multiply|multiply->multiply|multiply->divide|divide->multiply|multiply->multiply|multiply->add|add->multiply|multiply->add|add->divide,2,bigram
divide->add|add->divide|divide->divide,2,bigram
divide->subtract|subtract->divide|divide->subtract|subtract->divide,2,bigram
multiply->multiply|multiply->divide|divide->multiply,2,bigram
divide->subtract|subtract->subtract|subtract->divide,2,bigram
multiply->multiply|multiply->multiply|multiply->multiply|multiply->subtract|subtract->subtract,2,bigram
add->divide|divide->subtract|subtract->divide|divide->add|add->multiply,2,bigram
multiply->subtract|subtract->add|add->multiply|multiply->divide|divide->divide|divide->add,2,bigram
add->divide|divide->subtract|subtract->multiply,2,bigram
add->divide|divide->subtract|subtract->divide|divide->multiply,2,bigram
add->divide|divide->add|add->multiply|multiply->subtract,2,bigram
subtract->multiply|multiply->multiply|multiply->divide|divide->add|add->multiply|multiply->multiply|multiply->divide|divide->add,2,bigram
divide->power,2,bigram
multiply->divide|divide->add,2,bigram
divide->divide|divide->multiply|multiply->add|add->divide,2,bigram
square_edge_by_area->square_perimeter|square_perimeter->multiply,2,bigram
divide->multiply|multiply->divide|divide->multiply|multiply->subtract,2,bigram
add->add|add->add|add->add|add->subtract|subtract->multiply|multiply->divide,2,bigram
divide->divide|divide->multiply|multiply->multiply,2,bigram
add->add|add->divide|divide->add,2,bigram
add->subtract|subtract->divide|divide->subtract|subtract->divide|divide->divide|divide->multiply|multiply->divide,2,bigram
divide->subtract|subtract->multiply|multiply->multiply,2,bigram
multiply->divide|divide->multiply|multiply->divide|divide->add|add->divide,2,bigram
multiply->multiply|multiply->add|add->multiply|multiply->multiply|multiply->add,2,bigram
divide->multiply|multiply->subtract|subtract->divide|divide->multiply,2,bigram
add->power|power->add|add->multiply|multiply->subtract,2,bigram
add->multiply|multiply->add|add->add|add->add|add->add|add->subtract,2,bigram
divide->floor|floor->multiply|multiply->subtract,2,bigram
multiply->multiply|multiply->add|add->subtract,2,bigram
subtract->multiply|multiply->divide|divide->divide|divide->divide|divide->multiply|multiply->divide|divide->subtract|subtract->multiply|multiply->divide|divide->divide|divide->multiply,2,bigram
divide->divide|divide->add|add->divide|divide->divide|divide->subtract|subtract->divide,2,bigram
divide->subtract|subtract->add|add->divide,2,bigram
subtract->divide|divide->subtract|subtract->divide|divide->multiply|multiply->multiply,2,bigram
add->subtract|subtract->add|add->divide,2,bigram
add->subtract|subtract->add|add->divide|divide->multiply,2,bigram
multiply->multiply|multiply->add|add->add|add->divide|divide->multiply|multiply->multiply|multiply->divide,2,bigram
add->divide|divide->add|add->divide,2,bigram
divide->power|power->divide|divide->multiply|multiply->multiply,2,bigram
multiply->multiply|multiply->multiply|multiply->subtract|subtract->divide,2,bigram
divide->multiply|multiply->divide|divide->multiply,2,bigram
multiply->subtract|subtract->multiply,2,bigram
lcm->lcm|lcm->add,2,bigram
divide->divide|divide->add|add->divide|divide->divide|divide->divide|divide->divide|divide->add|add->divide|divide->divide|divide->subtract,2,bigram
multiply->sqrt|sqrt->divide|divide->divide,2,bigram
subtract->divide|divide->subtract|subtract->divide|divide->multiply|multiply->subtract|subtract->divide|divide->multiply,2,bigram
add->multiply|multiply->divide|divide->multiply,2,bigram
add->divide|divide->multiply|multiply->floor|floor->add,2,bigram
add->divide|divide->subtract|subtract->add|add->subtract|subtract->divide|divide->multiply|multiply->add|add->divide|divide->subtract|subtract->add|add->subtract|subtract->divide|divide->multiply|multiply->add,2,bigram
add->add|add->subtract|subtract->divide|divide->add|add->add,2,bigram
add->add|add->multiply|multiply->subtract|subtract->divide,2,bigram
divide->multiply|multiply->multiply|multiply->divide|divide->subtract,2,bigram
multiply->multiply|multiply->add|add->divide,2,bigram
subtract->divide|divide->add|add->add,2,bigram
add->divide|divide->divide|divide->subtract,2,bigram
subtract->divide->multiply,33,trigram
multiply->divide->multiply,20,trigram
multiply->subtract->divide,17,trigram
add->subtract->subtract,15,trigram
divide->add->divide,13,trigram
multiply->add->divide,12,trigram
multiply->multiply->divide,12,trigram
divide->subtract->divide,12,trigram
add->divide->multiply,11,trigram
divide->multiply->subtract,11,trigram
divide->multiply->add,10,trigram
divide->divide->add|divide->add->divide,10,trigram
add->add->subtract,8,trigram
add->add->multiply|add->multiply->multiply|multiply->multiply->subtract,7,trigram
divide->multiply->multiply,7,trigram
multiply->divide->multiply|divide->multiply->multiply,6,trigram
subtract->multiply->add|multiply->add->divide,6,trigram
divide->divide->subtract|divide->subtract->divide,6,trigram
subtract->multiply->divide,6,trigram
add->add->divide,6,trigram
subtract->subtract->divide,6,trigram
multiply->subtract->add,6,trigram
multiply->multiply->subtract,6,trigram
multiply->divide->divide,6,trigram
divide->multiply->divide,6,trigram
divide->subtract->multiply,6,trigram
subtract->divide->divide,6,trigram
divide->divide->divide,6,trigram
multiply->divide->multiply|divide->multiply->divide,6,trigram
divide->add->multiply,6,trigram
add->multiply->multiply|multiply->multiply->add|multiply->add->multiply|add->multiply->add|multiply->add->multiply|add->multiply->divide,5,trigram
divide->divide->multiply,5,trigram
add->subtract->divide,5,trigram
subtract->add->divide|add->divide->multiply,5,trigram
multiply->multiply->multiply|multiply->multiply->add|multiply->add->subtract,5,trigram
add->divide->add|divide->add->divide|add->divide->multiply,5,trigram
subtract->divide->add,5,trigram
add->multiply->divide|multiply->divide->divide,5,trigram
multiply->add->subtract,5,trigram
subtract->divide->subtract,5,trigram
multiply->multiply->add,5,trigram
subtract->divide->divide|divide->divide->subtract,5,trigram
multiply->multiply->add|multiply->add->add|add->add->divide,5,trigram
subtract->divide->subtract|divide->subtract->multiply,5,trigram
multiply->multiply->subtract|multiply->subtract->divide,4,trigram
add->add->divide|add->divide->multiply,4,trigram
add->multiply->multiply|multiply->multiply->subtract,4,trigram
multiply->subtract->subtract|subtract->subtract->multiply|subtract->multiply->add|multiply->add->multiply|add->multiply->add|multiply->add->subtract|add->subtract->multiply|subtract->multiply->add|multiply->add->add|add->add->divide|add->divide->multiply|divide->multiply->subtract|multiply->subtract->subtract|subtract->subtract->multiply|subtract->multiply->add|multiply->add->multiply,4,trigram
subtract->add->multiply|add->multiply->divide|multiply->divide->divide|divide->divide->subtract|divide->subtract->multiply,4,trigram
divide->divide->add|divide->add->multiply,4,trigram
divide->multiply->subtract|multiply->subtract->divide,4,trigram
add->divide->divide,4,trigram
multiply->divide->subtract|divide->subtract->divide,4,trigram
divide->add->divide|add->divide->multiply,4,trigram
add->divide->add,4,trigram
divide->divide->divide|divide->divide->add,4,trigram
multiply->multiply->multiply|multiply->multiply->divide,4,trigram
add->subtract->divide|subtract->divide->multiply|divide->multiply->divide|multiply->divide->multiply,4,trigram
multiply->subtract->subtract|subtract->subtract->divide,4,trigram
add->subtract->divide|subtract->divide->multiply,4,trigram
divide->divide->multiply|divide->multiply->divide,4,trigram
multiply->multiply->multiply|multiply->multiply->multiply|multiply->multiply->multiply|multiply->multiply->divide,3,trigram
divide->add->power|add->power->divide|power->divide->multiply|divide->multiply->add|multiply->add->subtract|add->subtract->divide,3,trigram
subtract->multiply->add,3,trigram
divide->add->power|add->power->divide,3,trigram
multiply->divide->add|divide->add->divide|add->divide->multiply|divide->multiply->subtract|multiply->subtract->subtract|subtract->subtract->divide,3,trigram
multiply->add->subtract|add->subtract->subtract|subtract->subtract->divide,3,trigram
add->divide->multiply|divide->multiply->add|multiply->add->multiply,3,trigram
add->multiply->divide|multiply->divide->add|divide->add->divide|add->divide->multiply,3,trigram
multiply->multiply->multiply|multiply->multiply->multiply|multiply->multiply->divide,3,trigram
divide->subtract->divide|subtract->divide->subtract|divide->subtract->multiply|subtract->multiply->multiply,3,trigram
divide->add->divide|add->divide->add|divide->add->multiply|add->multiply->divide,3,trigram
speed->multiply->speed|multiply->speed->divide|speed->divide->multiply|divide->multiply->subtract,3,trigram
multiply->subtract->divide|subtract->divide->multiply,3,trigram
divide->divide->add|divide->add->inverse,3,trigram
divide->multiply->divide|multiply->divide->multiply|divide->multiply->subtract|multiply->subtract->divide|subtract->divide->divide|divide->divide->subtract|divide->subtract->divide,3,trigram
divide->power->multiply,3,trigram
divide->divide->divide|divide->divide->subtract|divide->subtract->subtract|subtract->subtract->divide,3,trigram
subtract->subtract->divide|subtract->divide->multiply|divide->multiply->add,3,trigram
multiply->multiply->subtract|multiply->subtract->subtract|subtract->subtract->divide,3,trigram
negate->add->negate|add->negate->add|negate->add->add|add->add->add,3,trigram
divide->multiply->divide|multiply->divide->multiply|divide->multiply->add|multiply->add->divide|add->divide->multiply,3,trigram
divide->divide->subtract,3,trigram
subtract->divide->subtract|divide->subtract->subtract|subtract->subtract->subtract|subtract->subtract->divide|subtract->divide->multiply,3,trigram
subtract->multiply->divide|multiply->divide->subtract,3,trigram
power->multiply->power|multiply->power->divide,3,trigram
multiply->subtract->multiply|subtract->multiply->add,3,trigram
multiply->divide->subtract,3,trigram
multiply->subtract->subtract|subtract->subtract->subtract|subtract->subtract->divide,3,trigram
divide->subtract->divide|subtract->divide->subtract,3,trigram
subtract->subtract->subtract,3,trigram
power->subtract->divide,3,trigram
divide->subtract->multiply|subtract->multiply->divide|multiply->divide->multiply,3,trigram
divide->divide->subtract|divide->subtract->divide|subtract->divide->multiply,3,trigram
multiply->divide->multiply|divide->multiply->divide|multiply->divide->add|divide->add->inverse,3,trigram
subtract->divide->multiply|divide->multiply->add,3,trigram
multiply->multiply->add|multiply->add->sqrt|add->sqrt->add|sqrt->add->divide,3,trigram
add->add->add|add->add->subtract,2,trigram
add->subtract->add,2,trigram
multiply->multiply->multiply|multiply->multiply->multiply|multiply->multiply->multiply|multiply->multiply->multiply|multiply->multiply->divide,2,trigram
multiply->multiply->subtract|multiply->subtract->multiply|subtract->multiply->divide,2,trigram
multiply->subtract->add|subtract->add->divide,2,trigram
divide->divide->divide|divide->divide->multiply,2,trigram
multiply->multiply->divide|multiply->divide->divide,2,trigram
divide->multiply->multiply|multiply->multiply->subtract,2,trigram
multiply->multiply->divide|multiply->divide->multiply|divide->multiply->multiply|multiply->multiply->divide|multiply->divide->multiply,2,trigram
subtract->add->divide,2,trigram
multiply->subtract->multiply|subtract->multiply->divide|multiply->divide->divide|divide->divide->multiply|divide->multiply->divide|multiply->divide->add,2,trigram
multiply->divide->multiply|divide->multiply->divide|multiply->divide->subtract,2,trigram
divide->add->divide|add->divide->add|divide->add->subtract|add->subtract->multiply|subtract->multiply->divide,2,trigram
add->add->multiply|add->multiply->add|multiply->add->add|add->add->subtract,2,trigram
multiply->add->divide|add->divide->divide|divide->divide->multiply,2,trigram
add->add->add|add->add->add|add->add->divide|add->divide->multiply,2,trigram
divide->subtract->subtract,2,trigram
divide->divide->add|divide->add->divide|add->divide->multiply,2,trigram
add->add->add,2,trigram
subtract->divide->divide|divide->divide->multiply,2,trigram
divide->subtract->divide|subtract->divide->add|divide->add->multiply|add->multiply->multiply,2,trigram
add->add->add|add->add->divide,2,trigram
multiply->divide->multiply|divide->multiply->subtract,2,trigram
subtract->choose->choose|choose->choose->divide,2,trigram
divide->divide->divide|divide->divide->add|divide->add->add|add->add->divide,2,trigram
subtract->divide->multiply|divide->multiply->subtract,2,trigram
subtract->divide->multiply|divide->multiply->divide,2,trigram
multiply->divide->multiply|divide->multiply->add,2,trigram
add->add->multiply,2,trigram
multiply->multiply->multiply|multiply->multiply->divide|multiply->divide->multiply|divide->multiply->multiply|multiply->multiply->add|multiply->add->multiply|add->multiply->add|multiply->add->divide,2,trigram
divide->add->divide|add->divide->divide,2,trigram
divide->subtract->divide|subtract->divide->subtract|divide->subtract->divide,2,trigram
multiply->multiply->divide|multiply->divide->multiply,2,trigram
divide->subtract->subtract|subtract->subtract->divide,2,trigram
multiply->multiply->multiply|multiply->multiply->multiply|multiply->multiply->subtract|multiply->subtract->subtract,2,trigram
add->divide->subtract|divide->subtract->divide|subtract->divide->add|divide->add->multiply,2,trigram
multiply->subtract->add|subtract->add->multiply|add->multiply->divide|multiply->divide->divide|divide->divide->add,2,trigram
add->divide->subtract|divide->subtract->multiply,2,trigram
add->divide->subtract|divide->subtract->divide|subtract->divide->multiply,2,trigram
add->divide->add|divide->add->multiply|add->multiply->subtract,2,trigram
subtract->multiply->multiply|multiply->multiply->divide|multiply->divide->add|divide->add->multiply|add->multiply->multiply|multiply->multiply->divide|multiply->divide->add,2,trigram
multiply->divide->add,2,trigram
divide->divide->multiply|divide->multiply->add|multiply->add->divide,2,trigram
square_edge_by_area->square_perimeter->multiply,2,trigram
divide->multiply->divide|multiply->divide->multiply|divide->multiply->subtract,2,trigram
add->add->add|add->add->add|add->add->subtract|add->subtract->multiply|subtract->multiply->divide,2,trigram
divide->divide->multiply|divide->multiply->multiply,2,trigram
add->add->divide|add->divide->add,2,trigram
add->subtract->divide|subtract->divide->subtract|divide->subtract->divide|subtract->divide->divide|divide->divide->multiply|divide->multiply->divide,2,trigram
divide->subtract->multiply|subtract->multiply->multiply,2,trigram
multiply->divide->multiply|divide->multiply->divide|multiply->divide->add|divide->add->divide,2,trigram
multiply->multiply->add|multiply->add->multiply|add->multiply->multiply|multiply->multiply->add,2,trigram
divide->multiply->subtract|multiply->subtract->divide|subtract->divide->multiply,2,trigram
add->power->add|power->add->multiply|add->multiply->subtract,2,trigram
add->multiply->add|multiply->add->add|add->add->add|add->add->add|add->add->subtract,2,trigram
divide->floor->multiply|floor->multiply->subtract,2,trigram
multiply->multiply->add|multiply->add->subtract,2,trigram
subtract->multiply->divide|multiply->divide->divide|divide->divide->divide|divide->divide->multiply|divide->multiply->divide|multiply->divide->subtract|divide->subtract->multiply|subtract->multiply->divide|multiply->divide->divide|divide->divide->multiply,2,trigram
divide->divide->add|divide->add->divide|add->divide->divide|divide->divide->subtract|divide->subtract->divide,2,trigram
divide->subtract->add|subtract->add->divide,2,trigram
subtract->divide->subtract|divide->subtract->divide|subtract->divide->multiply|divide->multiply->multiply,2,trigram
add->subtract->add|subtract->add->divide,2,trigram
add->subtract->add|subtract->add->divide|add->divide->multiply,2,trigram
multiply->multiply->add|multiply->add->add|add->add->divide|add->divide->multiply|divide->multiply->multiply|multiply->multiply->divide,2,trigram
add->divide->add|divide->add->divide,2,trigram
divide->power->divide|power->divide->multiply|divide->multiply->multiply,2,trigram
multiply->multiply->multiply|multiply->multiply->subtract|multiply->subtract->divide,2,trigram
divide->multiply->divide|multiply->divide->multiply,2,trigram
multiply->subtract->multiply,2,trigram
lcm->lcm->add,2,trigram
divide->divide->add|divide->add->divide|add->divide->divide|divide->divide->divide|divide->divide->divide|divide->divide->add|divide->add->divide|add->divide->divide|divide->divide->subtract,2,trigram
multiply->sqrt->divide|sqrt->divide->divide,2,trigram
subtract->divide->subtract|divide->subtract->divide|subtract->divide->multiply|divide->multiply->subtract|multiply->subtract->divide|subtract->divide->multiply,2,trigram
add->multiply->divide|multiply->divide->multiply,2,trigram
add->divide->multiply|divide->multiply->floor|multiply->floor->add,2,trigram
add->divide->subtract|divide->subtract->add|subtract->add->subtract|add->subtract->divide|subtract->divide->multiply|divide->multiply->add|multiply->add->divide|add->divide->subtract|divide->subtract->add|subtract->add->subtract|add->subtract->divide|subtract->divide->multiply|divide->multiply->add,2,trigram
add->add->subtract|add->subtract->divide|subtract->divide->add|divide->add->add,2,trigram
add->add->multiply|add->multiply->subtract|multiply->subtract->divide,2,trigram
divide->multiply->multiply|multiply->multiply->divide|multiply->divide->subtract,2,trigram
multiply->multiply->add|multiply->add->divide,2,trigram
subtract->divide->add|divide->add->add,2,trigram
add->divide->divide|divide->divide->subtract,2,trigram
subtract->multiply->divide|multiply->divide->add,2,trigram
add->divide->multiply|divide->multiply->multiply|multiply->multiply->divide|multiply->divide->add|divide->add->divide|add->divide->multiply|divide->multiply->subtract,2,trigram
subtract->divide->subtract|divide->subtract->divide,2,trigram
multiply->multiply->add|multiply->add->add|add->add->subtract|add->subtract->subtract|subtract->subtract->multiply|subtract->multiply->multiply|multiply->multiply->multiply|multiply->multiply->add|multiply->add->add|add->add->subtract,2,trigram
multiply->divide->add|divide->add->multiply|add->multiply->divide|multiply->divide->add|divide->add->multiply|add->multiply->divide|multiply->divide->subtract,2,trigram
subtract->multiply->multiply|multiply->multiply->subtract|multiply->subtract->subtract|subtract->subtract->divide|subtract->divide->multiply,2,trigram
multiply->subtract->multiply|subtract->multiply->divide,2,trigram
add->multiply->divide,2,trigram
multiply->subtract->multiply|subtract->multiply->subtract|multiply->subtract->add|subtract->add->divide,2,trigram
divide->add->add|add->add->multiply,2,trigram
divide->divide->add|divide->add->divide|add->divide->subtract,2,trigram
divide->subtract->divide|subtract->divide->divide|divide->divide->subtract|divide->subtract->divide|subtract->divide->divide|divide->divide->multiply|divide->multiply->add,2,trigram
add->divide->multiply|divide->multiply->subtract|multiply->subtract->divide|subtract->divide->multiply|divide->multiply->add|multiply->add->add|add->add->subtract|add->subtract->add|subtract->add->divide|add->divide->multiply|divide->multiply->subtract|multiply->subtract->divide|subtract->divide->multiply|divide->multiply->add|multiply->add->divide|add->divide->multiply,2,trigram
multiply->add->subtract|add->subtract->divide,2,trigram
divide->multiply->subtract|multiply->subtract->divide|subtract->divide->divide,2,trigram
add->add->subtract|add->subtract->multiply,2,trigram
add->multiply->subtract|multiply->subtract->multiply|subtract->multiply->add,2,trigram
reminder->subtract->add,2,trigram
add->divide->divide|divide->divide->add|divide->add->divide|add->divide->divide|divide->divide->divide|divide->divide->add|divide->add->subtract|add->subtract->divide|subtract->divide->add|divide->add->divide|add->divide->divide|divide->divide->multiply,2,trigram
divide->divide->multiply|divide->multiply->add|multiply->add->add|add->add->divide|add->divide->multiply,2,trigram
subtract->multiply->subtract|multiply->subtract->divide|subtract->divide->add,2,trigram
