cohort,root_cause,recommended_fix,responsible_reward_component,first_divergence_turn,count
e2_executable_wrong_other,initial_tool_selection,tool_selection_data,call_count,1,2
c0_win_e2_loss,wrong_final_answer,outcome_reward,terminal_outcome,2,2
stable_win_control,argument_values,credit_assignment,argument_values,2,2
official_win_reward_too_few,valid_shorter_path,credit_assignment,call_count,4,2
c0_win_e2_loss,valid_shorter_path,no_change,executability,1,2
official_win_reward_too_few,reward_mismatch,outcome_reward,call_count,1,2
c0_win_e2_loss,initial_tool_selection,no_change,terminal_outcome,1,2
c0_loss_e2_win,valid_shorter_path,credit_assignment,call_count,3,2
c0_win_e2_loss,initial_tool_selection,tool_selection_data,executability,1,2
official_win_reward_too_few,valid_shorter_path,no_change,none,,2
official_win_reward_too_few,valid_shorter_path,credit_assignment,call_count,5,2
e2_executable_wrong_other,initial_tool_selection,outcome_reward,terminal_outcome,1,2
e2_executable_wrong_other,executable_wrong_global_plan,targeted_semantic_sft,terminal_outcome,,2
c0_loss_e2_win,argument_values,credit_assignment,call_count,1,1
stable_loss_control,initial_tool_selection,tool_selection_data,terminal_outcome,,1
e2_executable_wrong_other,premature_stop,credit_assignment,call_count,3,1
stable_loss_control,initial_tool_selection,tool_selection_data,call_count,1,1
official_win_reward_too_few,valid_shorter_path,outcome_reward,call_count,,1
c0_loss_e2_win,initial_tool_selection,outcome_reward,tool_name,1,1
official_win_reward_too_few,valid_shorter_path,credit_assignment,argument_values,2,1
c0_loss_e2_win,valid_shorter_path,outcome_reward,call_count,2,1
e2_executable_wrong_other,wrong_final_answer,terminal_classification,terminal_outcome,1,1
c0_loss_e2_win,valid_shorter_path,outcome_reward,terminal_outcome,2,1
official_win_reward_too_few,argument_values,no_change,argument_values,2,1
c0_win_e2_loss,premature_stop,no_change,call_count,1,1
c0_win_e2_loss,wrong_final_answer,terminal_classification,terminal_outcome,1,1
e2_executable_wrong_other,initial_tool_selection,tool_selection_data,executability,1,1
c0_win_e2_loss,premature_stop,targeted_semantic_sft,terminal_outcome,16,1
c0_loss_e2_win,valid_shorter_path,credit_assignment,call_count,2,1
c0_win_e2_loss,later_tool_selection,no_change,terminal_outcome,1,1
c0_win_e2_loss,premature_stop,terminal_classification,terminal_outcome,1,1
stable_win_control,valid_shorter_path,credit_assignment,call_count,,1
c0_win_e2_loss,premature_stop,no_change,terminal_outcome,3,1
e2_executable_wrong_other,initial_tool_selection,tool_selection_data,tool_name,,1
c0_win_e2_loss,argument_values,outcome_reward,terminal_outcome,1,1
c0_loss_e2_win,argument_values,observation_grounding_data,argument_values,3,1
c0_win_e2_loss,valid_shorter_path,credit_assignment,call_count,4,1
c0_loss_e2_win,argument_values,tool_selection_data,argument_values,1,1
c0_loss_e2_win,wrong_final_answer,outcome_reward,terminal_outcome,4,1
c0_win_e2_loss,argument_values,credit_assignment,call_count,2,1
stable_loss_control,argument_values,observation_grounding_data,argument_values,2,1
c0_win_e2_loss,premature_stop,terminal_classification,terminal_outcome,5,1
c0_win_e2_loss,premature_stop,terminal_classification,terminal_outcome,2,1
c0_loss_e2_win,valid_shorter_path,outcome_reward,terminal_outcome,1,1
stable_win_control,valid_shorter_path,outcome_reward,terminal_outcome,,1
c0_loss_e2_win,reward_mismatch,credit_assignment,call_count,2,1
stable_win_control,valid_shorter_path,no_change,call_count,,1
stable_loss_control,valid_shorter_path,no_change,argument_values,1,1
c0_win_e2_loss,premature_stop,credit_assignment,call_count,3,1
c0_loss_e2_win,reward_mismatch,outcome_reward,terminal_outcome,1,1
c0_win_e2_loss,argument_values,observation_grounding_data,argument_values,1,1
c0_win_e2_loss,premature_stop,credit_assignment,call_count,5,1
stable_win_control,valid_shorter_path,credit_assignment,call_count,2,1
c0_loss_e2_win,wrong_final_answer,credit_assignment,call_count,1,1
stable_win_control,argument_values,observation_grounding_data,argument_values,3,1
c0_win_e2_loss,valid_shorter_path,outcome_reward,call_count,1,1
stable_loss_control,unclear,no_change,none,,1
c0_win_e2_loss,argument_values,no_change,none,1,1
stable_win_control,valid_shorter_path,no_change,none,,1
c0_win_e2_loss,wrong_output_field,outcome_reward,terminal_outcome,2,1
e2_executable_wrong_other,premature_stop,tool_selection_data,call_count,,1
official_win_reward_too_few,observation_ignored,observation_grounding_data,call_count,3,1
c0_loss_e2_win,later_tool_selection,credit_assignment,call_count,2,1
e2_executable_wrong_other,argument_values,observation_grounding_data,argument_values,3,1
c0_loss_e2_win,wrong_final_answer,outcome_reward,terminal_outcome,1,1
c0_loss_e2_win,argument_values,outcome_reward,terminal_outcome,1,1
c0_win_e2_loss,valid_shorter_path,credit_assignment,call_count,2,1
c0_win_e2_loss,wrong_final_answer,targeted_semantic_sft,terminal_outcome,1,1
c0_win_e2_loss,initial_tool_selection,no_change,executability,1,1
e2_executable_wrong_other,wrong_final_answer,outcome_reward,terminal_outcome,,1
stable_loss_control,argument_values,observation_grounding_data,argument_values,3,1
stable_loss_control,initial_tool_selection,observation_grounding_data,executability,,1
c0_win_e2_loss,wrong_output_field,terminal_classification,terminal_outcome,7,1
c0_loss_e2_win,later_tool_selection,credit_assignment,call_count,3,1
c0_loss_e2_win,argument_values,outcome_reward,argument_values,1,1
c0_loss_e2_win,wrong_final_answer,terminal_classification,terminal_outcome,3,1
c0_loss_e2_win,premature_stop,credit_assignment,call_count,3,1
e2_executable_wrong_other,wrong_final_answer,terminal_classification,terminal_outcome,2,1
c0_win_e2_loss,premature_stop,terminal_classification,terminal_outcome,3,1
c0_win_e2_loss,argument_keys,tool_selection_data,argument_keys,2,1
stable_win_control,valid_shorter_path,credit_assignment,call_count,1,1
c0_win_e2_loss,argument_values,observation_grounding_data,executability,1,1
stable_win_control,valid_shorter_path,credit_assignment,terminal_outcome,4,1
e2_executable_wrong_other,argument_values,targeted_semantic_sft,argument_values,1,1
stable_win_control,valid_shorter_path,no_change,argument_values,1,1
e2_executable_wrong_other,argument_values,terminal_classification,terminal_outcome,4,1
c0_win_e2_loss,argument_values,targeted_semantic_sft,argument_values,1,1
e2_executable_wrong_other,wrong_output_field,observation_grounding_data,terminal_outcome,2,1
e2_executable_wrong_other,argument_values,credit_assignment,call_count,2,1
c0_loss_e2_win,valid_shorter_path,credit_assignment,call_count,4,1
stable_loss_control,argument_values,targeted_semantic_sft,argument_values,5,1
e2_executable_wrong_other,argument_values,outcome_reward,terminal_outcome,1,1
c0_win_e2_loss,later_tool_selection,targeted_semantic_sft,tool_name,2,1
c0_win_e2_loss,executable_wrong_global_plan,tool_selection_data,executability,1,1
stable_win_control,valid_shorter_path,outcome_reward,call_count,,1
c0_loss_e2_win,initial_tool_selection,tool_selection_data,call_count,1,1
c0_win_e2_loss,argument_values,outcome_reward,executability,1,1
c0_win_e2_loss,premature_stop,credit_assignment,call_count,1,1
c0_win_e2_loss,argument_values,observation_grounding_data,argument_values,5,1
e2_executable_wrong_other,argument_values,observation_grounding_data,argument_values,,1
e2_executable_wrong_other,wrong_output_field,observation_grounding_data,terminal_outcome,3,1
e2_executable_wrong_other,wrong_output_field,credit_assignment,executability,2,1
official_win_reward_too_few,valid_shorter_path,outcome_reward,call_count,3,1
c0_win_e2_loss,initial_tool_selection,no_change,tool_name,1,1
e2_executable_wrong_other,argument_values,outcome_reward,argument_values,2,1
c0_win_e2_loss,premature_stop,targeted_semantic_sft,call_count,4,1
c0_win_e2_loss,reward_mismatch,outcome_reward,terminal_outcome,1,1
stable_loss_control,valid_shorter_path,credit_assignment,call_count,,1
c0_loss_e2_win,argument_values,targeted_semantic_sft,argument_values,3,1
official_win_reward_too_few,valid_shorter_path,credit_assignment,argument_values,4,1
c0_win_e2_loss,later_tool_selection,credit_assignment,call_count,2,1
c0_win_e2_loss,wrong_final_answer,no_change,terminal_outcome,5,1
c0_loss_e2_win,valid_shorter_path,outcome_reward,call_count,1,1
c0_win_e2_loss,reward_mismatch,credit_assignment,call_count,1,1
c0_win_e2_loss,argument_values,credit_assignment,argument_values,2,1
c0_loss_e2_win,premature_stop,credit_assignment,call_count,2,1
c0_win_e2_loss,later_tool_selection,tool_selection_data,terminal_outcome,2,1
