task_id,split,recon_ok,recon_error,recomputed_call_count,declared_call_count,call_count_agrees,n_nodes,n_edges,depth,n_roots,n_leaves,n_join_nodes,n_fan_out_nodes,n_reused_outputs,n_late_edges,max_reference_distance,mean_reference_distance,n_parallel_branches,critical_path,recomputed_primary_pattern,recomputed_satisfied_patterns,undecidable_patterns,declared_structural_pattern,pattern_agrees,declared_actual_structural_pattern,actual_pattern_agrees,recomputed_answer_type,declared_answer_type,answer_type_agrees,gold_tool_surfaces,gold_primitives,capability_families,declared_workflow_id,declared_cell_tier,declared_query_mode,question_exact_hash,question_skeleton_hash,question_intent_hash
p42_01d0ab9cd4c7,train_master_3000,True,,2,2,True,2,1,2,1,1,0,0,0,0,1,1.0,1,0|1,LINEAR_CHAIN,LINEAR_CHAIN,TYPE_TRANSITION_CHAIN,,,,,float,,,grow_by_rate|combine_amounts,increase_by_percent|add,arithmetic.binary|arithmetic.binary,commerce.grow_then_add,CORE_PROFILE,GOAL_BASED_IMPLICIT,731f4bd4dbdce1ce27a7a182d47b72371590fa9533a4c8a0c200da72290edab5,b72fecb5301d0395463a8159ffc524dc07d6deeb2cacc408492e244adb1feef6,0af461324f8468ac9f874d392862f3c380fac0b9e8e69b24d93cdaa79db93e0c
p42_765fa64db1e9,train_master_3000,True,,2,2,True,2,1,2,1,1,0,0,0,0,1,1.0,1,0|1,LINEAR_CHAIN,LINEAR_CHAIN,TYPE_TRANSITION_CHAIN,,,,,float,,,shrink_by_rate|combine_amounts,decrease_by_percent|add,arithmetic.binary|arithmetic.binary,commerce.discount_then_fee,CORE_PROFILE,OPERATION_EXPLICIT_GRAPH_IMPLICIT,b887948317a2b742cbb5252ae3042e07f8c2a1e5bc198ba6643ee1b3ad1910af,11e7b5134b9e60da79501f424311cfcb82c50a42655d101acbaa8e950ad3f473,f9df4838901a005ebf3da1c892888820c3c37837d7614f81e5bb04e00b34f473
p42_e85acc927b67,train_master_3000,True,,5,5,True,5,5,5,1,1,1,1,1,0,2,1.2,1,0|1|2|3|4,DIAMOND,DIAMOND|FAN_IN_SINGLE|FAN_OUT|REPEATED_PRIMITIVE|REUSE_EARLY_OUTPUT,TYPE_TRANSITION_CHAIN,,,,,boolean,,,shrink_by_rate|portion_by_rate|combine_amounts|combine_amounts|exceeds_value,decrease_by_percent|percent_of|add|add|is_greater,arithmetic.binary|arithmetic.binary|arithmetic.binary|arithmetic.binary|comparison,commerce.discount_tax_fee_compare,CHALLENGE,GOAL_BASED_IMPLICIT,2b29a20d3b9b7114b27f11fe500b5a4f5b33a1150fec6709da6a57d3487dcb20,d7c9003165032fc3c1c06f31f133d36eff44974d1e2d1ad3fab1246dd3335b1b,5bc4a9404cab7f5a6223162d02ea22d8e906402c77f56ebc9551f010bef8bb67
p42_867622b5ea42,train_master_3000,True,,2,2,True,2,1,2,1,1,0,0,0,0,1,1.0,1,0|1,LINEAR_CHAIN,LINEAR_CHAIN,TYPE_TRANSITION_CHAIN,,,,,float,,,grow_by_rate|combine_amounts,increase_by_percent|add,arithmetic.binary|arithmetic.binary,personal_finance.grow_then_add,CORE_PROFILE,GRAPH_EXPLICIT,0082b38f5a6387741edf55281bae44987ddb6b5f36ed77a90bb32719be99d371,94a1bc269cf199bb8f9c7a4f96ada0d9b4e199782b560a591d5c9706ea220bb9,f2ef7201bd633a914d6afd2d37098111de79867e4d334023e2c12a4936891023
p42_22dc3ac0b54e,train_master_3000,True,,2,2,True,2,1,2,1,1,0,0,0,0,1,1.0,1,0|1,LINEAR_CHAIN,LINEAR_CHAIN,TYPE_TRANSITION_CHAIN,,,,,float,,,grow_by_rate|combine_amounts,increase_by_percent|add,arithmetic.binary|arithmetic.binary,commerce.grow_then_add,CORE_PROFILE,GOAL_BASED_IMPLICIT,6ddd5624eb436c302da627491ed89e4fc6185b12077a82093afa422d60895b04,b72fecb5301d0395463a8159ffc524dc07d6deeb2cacc408492e244adb1feef6,0af461324f8468ac9f874d392862f3c380fac0b9e8e69b24d93cdaa79db93e0c
p42_381f5593390e,train_master_3000,True,,5,5,True,5,4,5,1,1,0,0,0,0,1,1.0,1,0|1|2|3|4,REPEATED_PRIMITIVE,LINEAR_CHAIN|REPEATED_PRIMITIVE,TYPE_TRANSITION_CHAIN,,,,,boolean,,,combine_amounts|grow_by_rate|shrink_by_rate|combine_amounts|exceeds_value,add|increase_by_percent|decrease_by_percent|add|is_greater,arithmetic.binary|arithmetic.binary|arithmetic.binary|arithmetic.binary|comparison,energy.six_step_pipeline,STRUCTURAL_ENRICHMENT,GRAPH_EXPLICIT,ba3a6fa93b31eef263e83b480031720b4a418604896c58c94b6a6d3b69a801f1,d6c55cb2559a29e2922799cd82ab904168a10c574498cd268f81d7e9ab4dc48d,9a2392db71ab90fe9ccf2cd0061d204c04a912fd76e6f73845441d9743336fd3
p42_a9da1ab46990,train_master_3000,True,,2,2,True,2,1,2,1,1,0,0,0,0,1,1.0,1,0|1,LINEAR_CHAIN,LINEAR_CHAIN,TYPE_TRANSITION_CHAIN,,,,,float,,,grow_by_rate|combine_amounts,increase_by_percent|add,arithmetic.binary|arithmetic.binary,resource_allocation.grow_then_add,STRUCTURAL_ENRICHMENT,GOAL_BASED_IMPLICIT,1596a733ffb9edb61bedcc449d122ac6374ddb4d9ea093c0c9b51665fd6f25c0,efbf09e1d6881f3af023c9cee8979f266a4b9e41ca8e6f11bc79596e110c0311,0af461324f8468ac9f874d392862f3c380fac0b9e8e69b24d93cdaa79db93e0c
p42_6c3785565d31,train_master_3000,True,,4,4,True,4,3,4,1,1,0,0,0,0,1,1.0,1,0|1|2|3,LINEAR_CHAIN,LINEAR_CHAIN,TYPE_TRANSITION_CHAIN,,,,,boolean,,,scale_quantity|grow_by_rate|combine_amounts|exceeds_value,multiply|increase_by_percent|add|is_greater,arithmetic.binary|arithmetic.binary|arithmetic.binary|comparison,energy.four_step_adjust_total,STRUCTURAL_ENRICHMENT,DOMAIN_GROUNDED_IMPLICIT,f4dd72284f5665144bc3ac7c387ab95bd5afcc5c585b5b4bdb3e41cffc24e09e,4f697e6481eb97fa25531bb7f67796fc6645053aeb6eabc5772f5d40cf00dad1,a581f41cf4a3fc451b38fecb1d5a9756adf91ce41028b65bc5042ae91aa1998b
p42_2cd89b110082,train_master_3000,True,,4,4,True,4,3,4,1,1,0,0,0,0,1,1.0,1,0|1|2|3,LINEAR_CHAIN,LINEAR_CHAIN,TYPE_TRANSITION_CHAIN,,,,,boolean,,,scale_quantity|grow_by_rate|combine_amounts|exceeds_value,multiply|increase_by_percent|add|is_greater,arithmetic.binary|arithmetic.binary|arithmetic.binary|comparison,inventory.four_step_adjust_total,STRUCTURAL_ENRICHMENT,GRAPH_EXPLICIT,d32f16c28626bf67af920c0318c199aa8320d39dda54362d8fb48051d10d3cd9,2d7e79fd6cf74d5c648cedefb0c29f3b1d6c6e5a5217dfd7e6b8aaf31dea3eb1,f2ef7201bd633a914d6afd2d37098111de79867e4d334023e2c12a4936891023
p42_be75f6598cae,train_master_3000,True,,4,4,True,4,3,4,1,1,0,0,0,0,1,1.0,1,0|1|2|3,LINEAR_CHAIN,LINEAR_CHAIN,TYPE_TRANSITION_CHAIN,,,,,boolean,,,scale_quantity|grow_by_rate|combine_amounts|exceeds_value,multiply|increase_by_percent|add|is_greater,arithmetic.binary|arithmetic.binary|arithmetic.binary|comparison,measurement.four_step_adjust_total,STRUCTURAL_ENRICHMENT,SEMI_IMPLICIT,e9b38e4f4c1b93e177e41abd3183ecf93f33e0e2334da6528554093c98588ffb,f99cc0c9c4adf4b95f5ca157dc6be4f9a57b85972227abf4a95f351ae2a4bcea,d890cf39df320f391f66617033fb3ca8ba32b7bebf0af579d0be27c22904dcfe
p42_0e0bc2d1c71f,train_master_3000,True,,4,4,True,4,3,4,1,1,0,0,0,0,1,1.0,1,0|1|2|3,LINEAR_CHAIN,LINEAR_CHAIN,TYPE_TRANSITION_CHAIN,,,,,boolean,,,scale_quantity|grow_by_rate|combine_amounts|exceeds_value,multiply|increase_by_percent|add|is_greater,arithmetic.binary|arithmetic.binary|arithmetic.binary|comparison,rates_and_ratios.four_step_adjust_total,STRUCTURAL_ENRICHMENT,DOMAIN_GROUNDED_IMPLICIT,484cc4c7ab1019176de58927cefc5e4b5ab741de483850b121a5a512f4776a49,f358d7ca0a8ef391f49a854fbd4d0d6f0b3c30038ea5999777ed0eaed4d08d40,fb5b164951c0df732c54e401670f34c972528a3461d2f95f0c4f49518e2f2bcf
p42_673dd95b70ff,train_master_3000,True,,2,2,True,2,1,2,1,1,0,0,0,0,1,1.0,1,0|1,LINEAR_CHAIN,LINEAR_CHAIN,TYPE_TRANSITION_CHAIN,,,,,float,,,grow_by_rate|combine_amounts,increase_by_percent|add,arithmetic.binary|arithmetic.binary,inventory.grow_then_add,CORE_PROFILE,OPERATION_EXPLICIT_GRAPH_IMPLICIT,d7d81e4ef574f502e33ea8d429ef6838886ea7bc7269c7109d8be488f1e60deb,d1991b433f54e6f629bee61c11be745ac73be182a6a62d3e4db4b351f566a233,f9df4838901a005ebf3da1c892888820c3c37837d7614f81e5bb04e00b34f473
p42_5a8576e00974,train_master_3000,True,,5,5,True,5,5,5,1,1,1,1,1,0,2,1.2,1,0|1|2|3|4,DIAMOND,DIAMOND|FAN_IN_SINGLE|FAN_OUT|REPEATED_PRIMITIVE|REUSE_EARLY_OUTPUT,TYPE_TRANSITION_CHAIN,,,,,boolean,,,shrink_by_rate|portion_by_rate|combine_amounts|combine_amounts|exceeds_value,decrease_by_percent|percent_of|add|add|is_greater,arithmetic.binary|arithmetic.binary|arithmetic.binary|arithmetic.binary|comparison,commerce.discount_tax_fee_compare,CHALLENGE,GOAL_BASED_IMPLICIT,621cd7d082a2548c460ff9ff8a235e257d7db728b85733c766785812a46197aa,2e41e7c49166c7ce4ff2eaf67ee8b88a6cad4d8f3f63d3c2fc1a120c447a1bc4,5bc4a9404cab7f5a6223162d02ea22d8e906402c77f56ebc9551f010bef8bb67
p42_dca36f925231,train_master_3000,True,,2,2,True,2,1,2,1,1,0,0,0,0,1,1.0,1,0|1,LINEAR_CHAIN,LINEAR_CHAIN,TYPE_TRANSITION_CHAIN,,,,,float,,,grow_by_rate|combine_amounts,increase_by_percent|add,arithmetic.binary|arithmetic.binary,rates_and_ratios.grow_then_add,CORE_PROFILE,DOMAIN_GROUNDED_IMPLICIT,6bdb1cfcab6449187ecaab339a77925cef573733a4c0ec35e5363f5b3f84b9fa,a367f7439379500f00151955a630c7556b56c4f24aab805f525546cfa14ae94f,fb5b164951c0df732c54e401670f34c972528a3461d2f95f0c4f49518e2f2bcf
p42_ca85aa4dfdae,train_master_3000,True,,4,4,True,4,3,4,1,1,0,0,0,0,1,1.0,1,0|1|2|3,LINEAR_CHAIN,LINEAR_CHAIN,TYPE_TRANSITION_CHAIN,,,,,boolean,,,scale_quantity|grow_by_rate|combine_amounts|exceeds_value,multiply|increase_by_percent|add|is_greater,arithmetic.binary|arithmetic.binary|arithmetic.binary|comparison,personal_finance.four_step_adjust_total,STRUCTURAL_ENRICHMENT,OPERATION_EXPLICIT_GRAPH_IMPLICIT,a86ff0d49bfa5391c515ea0d6e0f4b9d5aa1ebcd8f0be0bf0ba62fe57e167490,ea2f5fdc50584dc31d06b2d41d533e499ef497083857f19b6d4c310f5496c5f9,7ad6704df2d63a884b8177de5244b05254ab7be8cedc1613330423b34bbf9858
p42_2f5f41c1122e,train_master_3000,True,,3,3,True,3,2,3,1,1,0,0,0,0,1,1.0,1,0|1|2,LINEAR_CHAIN,LINEAR_CHAIN,TYPE_TRANSITION_CHAIN,,,,,boolean,,,combine_amounts|grow_by_rate|exceeds_value,add|increase_by_percent|is_greater,arithmetic.binary|arithmetic.binary|comparison,file_path.scale_adjust_compare,CAPABILITY_ENRICHMENT,OPERATION_EXPLICIT_GRAPH_IMPLICIT,e92f6f691e528a7ebd360951980a988e4017802a6a62396983d3571f3c3fd895,e3aad63c72f32d327371a79d84bcce892345c35cec1134f78488bb4df2fc406f,26ce3ab3e835407ef6493efe1800b8b63e2ae901b7fbe70d25e09fc21bfab1f4
p42_4bce5b55d672,train_master_3000,True,,4,4,True,4,3,4,1,1,0,0,0,0,1,1.0,1,0|1|2|3,LINEAR_CHAIN,LINEAR_CHAIN,TYPE_TRANSITION_CHAIN,,,,,boolean,,,scale_quantity|grow_by_rate|combine_amounts|exceeds_value,multiply|increase_by_percent|add|is_greater,arithmetic.binary|arithmetic.binary|arithmetic.binary|comparison,operations.four_step_adjust_total,STRUCTURAL_ENRICHMENT,OPERATION_EXPLICIT_GRAPH_IMPLICIT,c9985206194fabe213d158788652e2406c68c0cf569fbc9fc637f8c14c4fe16a,033071cb7a9d909005329a503b1cfd1deab6f6ca4ff969b32392f1fbdebbee79,7ad6704df2d63a884b8177de5244b05254ab7be8cedc1613330423b34bbf9858
p42_e55c4488403d,train_master_3000,True,,2,2,True,2,1,2,1,1,0,0,0,0,1,1.0,1,0|1,LINEAR_CHAIN,LINEAR_CHAIN,TYPE_TRANSITION_CHAIN,,,,,float,,,grow_by_rate|combine_amounts,increase_by_percent|add,arithmetic.binary|arithmetic.binary,quality_control.grow_then_add,STRUCTURAL_ENRICHMENT,SEMI_IMPLICIT,1995012eadc4b6e64e76213827da1bc61c1b9bb0c0cbe0431be212e36f3e3cbe,8db15227182eb432ad7176f629368146494b74af0311a0c9a3e2250d72e40118,bf6a2235b91f0319e9af3a4d40e066185b8bfc1b26a420f1770cbe5977d434df
p42_78850f4cd041,train_master_3000,True,,4,4,True,4,3,4,1,1,0,0,0,0,1,1.0,1,0|1|2|3,LINEAR_CHAIN,LINEAR_CHAIN,TYPE_TRANSITION_CHAIN,,,,,boolean,,,scale_quantity|grow_by_rate|combine_amounts|exceeds_value,multiply|increase_by_percent|add|is_greater,arithmetic.binary|arithmetic.binary|arithmetic.binary|comparison,rates_and_ratios.four_step_adjust_total,STRUCTURAL_ENRICHMENT,DOMAIN_GROUNDED_IMPLICIT,1780b6acd640f81457859269aa09e919dfd7458c8f42218f067165d1b9b0ed78,f358d7ca0a8ef391f49a854fbd4d0d6f0b3c30038ea5999777ed0eaed4d08d40,fb5b164951c0df732c54e401670f34c972528a3461d2f95f0c4f49518e2f2bcf
p42_c0a7894e2e7b,train_master_3000,True,,3,3,True,3,2,3,1,1,0,0,0,0,1,1.0,1,0|1|2,LINEAR_CHAIN,LINEAR_CHAIN,TYPE_TRANSITION_CHAIN,,,,,boolean,,,combine_amounts|grow_by_rate|exceeds_value,add|increase_by_percent|is_greater,arithmetic.binary|arithmetic.binary|comparison,file_path.scale_adjust_compare,CAPABILITY_ENRICHMENT,OPERATION_EXPLICIT_GRAPH_IMPLICIT,147f6c722c567ba3b88815a449c6ec90082671fd70e1c006d7a9600f089263c1,dc1391150da928f43b025b6fae9b091888570fdd86428efdb321e18dabf70df3,26ce3ab3e835407ef6493efe1800b8b63e2ae901b7fbe70d25e09fc21bfab1f4
p42_322985f51159,train_master_3000,True,,4,4,True,4,3,4,1,1,0,0,0,0,1,1.0,1,0|1|2|3,LINEAR_CHAIN,LINEAR_CHAIN,TYPE_TRANSITION_CHAIN,,,,,boolean,,,scale_quantity|grow_by_rate|combine_amounts|exceeds_value,multiply|increase_by_percent|add|is_greater,arithmetic.binary|arithmetic.binary|arithmetic.binary|comparison,energy.four_step_adjust_total,STRUCTURAL_ENRICHMENT,DOMAIN_GROUNDED_IMPLICIT,90e9864b2cf8b639baa0ef75c295e4c8b8f5b2253d0cc31387b21973cf462815,4f697e6481eb97fa25531bb7f67796fc6645053aeb6eabc5772f5d40cf00dad1,a581f41cf4a3fc451b38fecb1d5a9756adf91ce41028b65bc5042ae91aa1998b
p42_5ca15fb8531a,train_master_3000,True,,2,2,True,2,1,2,1,1,0,0,0,0,1,1.0,1,0|1,LINEAR_CHAIN,LINEAR_CHAIN,TYPE_TRANSITION_CHAIN,,,,,float,,,grow_by_rate|combine_amounts,increase_by_percent|add,arithmetic.binary|arithmetic.binary,resource_allocation.grow_then_add,STRUCTURAL_ENRICHMENT,GOAL_BASED_IMPLICIT,a1aee56b090a3c8f1eb3478abe2012fb30de3de397475d8971df1e6405c94534,eedf6e18d35915143d3ccfca40c3d9a2d94f5afd6981e497c561504ecf236893,0af461324f8468ac9f874d392862f3c380fac0b9e8e69b24d93cdaa79db93e0c
p42_7d4210c92d4f,train_master_3000,True,,2,2,True,2,1,2,1,1,0,0,0,0,1,1.0,1,0|1,LINEAR_CHAIN,LINEAR_CHAIN,TYPE_TRANSITION_CHAIN,,,,,float,,,grow_by_rate|combine_amounts,increase_by_percent|add,arithmetic.binary|arithmetic.binary,quality_control.grow_then_add,STRUCTURAL_ENRICHMENT,SEMI_IMPLICIT,58a2ae148d2eeaf1ddd18fc5d94f91790560a2b14f445eca9ea27a21c9381d24,a7500ea81c401ce32b8bbec8613885f73c0cbfbdd162c9ebde72c0a7220bfbf6,bf6a2235b91f0319e9af3a4d40e066185b8bfc1b26a420f1770cbe5977d434df
p42_7b9aaa6cff68,train_master_3000,True,,2,2,True,2,1,2,1,1,0,0,0,0,1,1.0,1,0|1,LINEAR_CHAIN,LINEAR_CHAIN,TYPE_TRANSITION_CHAIN,,,,,boolean,,,shrink_by_rate|exceeds_value,decrease_by_percent|is_greater,arithmetic.binary|comparison,statistics.shrink_then_compare,STRUCTURAL_ENRICHMENT,OPERATION_EXPLICIT_GRAPH_IMPLICIT,fb11c42e0be5a7f16503a9598384dcb44949764e0f787585a2c6662c46ac4651,c3593d601c143a874ee5afa91be2c63775bc301f7a37a152bdae07e71d90a10e,f9df4838901a005ebf3da1c892888820c3c37837d7614f81e5bb04e00b34f473
p42_df08f9332b0e,train_master_3000,True,,2,2,True,2,1,2,1,1,0,0,0,0,1,1.0,1,0|1,LINEAR_CHAIN,LINEAR_CHAIN,TYPE_TRANSITION_CHAIN,,,,,boolean,,,shrink_by_rate|exceeds_value,decrease_by_percent|is_greater,arithmetic.binary|comparison,quality_control.shrink_then_compare,STRUCTURAL_ENRICHMENT,GOAL_BASED_IMPLICIT,f7fd3dd350a18f62bae29733acc85cc913bb6bf7318370eec665bacf4b16e227,b6f962106421cae5613cd15e1cf795c7b12dae2ba3065f5225285ad956e0253a,815a7dbc5e95234da00676f06c0faaefef9b8150f568adfacf591f428a9e18f6
p42_2c9c9c274f89,train_master_3000,True,,5,5,True,5,5,5,1,1,1,1,1,0,2,1.2,1,0|1|2|3|4,DIAMOND,DIAMOND|FAN_IN_SINGLE|FAN_OUT|REUSE_EARLY_OUTPUT,TYPE_TRANSITION_CHAIN,,,,,boolean,,,portion_by_rate|reduce_amount|combine_amounts|grow_by_rate|exceeds_value,percent_of|subtract|add|increase_by_percent|is_greater,arithmetic.binary|arithmetic.binary|arithmetic.binary|arithmetic.binary|comparison,quality.multi_metric_decision,CHALLENGE,OPERATION_EXPLICIT_GRAPH_IMPLICIT,abe96271da97c0a530db5835acaf1861622e829d96773950e0083d3ecae57cdd,e64c8868f1a525709a676f03565733de63a6a13e85116468128645d2eb9b846b,4afd0c8e0b656de457baf389a44df5e36f4eb312f3f03f47ec68257c440bda9f
