answer_type,call_bucket,call_count,depth,distractor_count,distractor_hardness,generation_cell,graph_template_id,motif,offered_tool_count,paraphrase_status,reference_density,sample_id,semantic_program_family,source,target_failure_mode,target_skill,topology_hash,track
float,2,2,2,9,0.0292,A_2call_linear_continuation_04,gt_593776dcf098,linear,11,unknown,0.142857,ttdf_4b357fd5b95a,pf_18e05bbb6e32,train300,wrong_second_tool_after_correct_prefix,continuation_after_observation,topo_fdeb50f24873,A
numeric_string,2,2,2,6,0.0262,A_2call_linear_continuation_03,gt_4089c427c015,linear,8,unknown,0.333333,ttdf_3f2d4ea393f1,pf_cbf4f6ae6cf6,train300,numeric_string_confusion,argument_typing,topo_fdeb50f24873,A
float,6+,6,5,8,0.0146,G_6pcall_fan_in_tool_catalog_01,gt_b96540fba9ab,fan_in,14,unknown,0.5,ttdf_342238ec5a2f,pf_0eb41cbecd01,train300,distractor_confusion,tool_catalog_search,topo_33e36888cf10,G
int,6+,7,4,9,0.0298,G_6pcall_branch_aggregate_tool_catalog_00,gt_bde293b27a5c,branch_aggregate,16,unknown,0.428571,ttdf_4b29c1b00ae7,pf_bcb8907d785e,train300,distractor_confusion,tool_catalog_search,topo_cff8eb87d925,G
float,4,4,2,10,0.0397,G_4call_branch_aggregate_tool_catalog_00,gt_6ed567ce6a09,branch_aggregate,14,unknown,0.333333,ttdf_111e18412f56,pf_cfa7b6878ecf,train300,distractor_confusion,tool_catalog_search,topo_64b2717a77dd,G
bool,2,2,2,9,0.0499,A_2call_linear_continuation_01,gt_dfaf3c6d7b7a,linear,11,unknown,0.2,ttdf_06ba5fd3d7c3,pf_34b52bff0e03,train300,wrong_second_tool_after_correct_prefix,continuation_after_observation,topo_fdeb50f24873,A
float,6+,6,4,5,0.0513,A_6pcall_fan_in_long_horizon_00,gt_9a1bf99ae73c,fan_in,11,unknown,0.5,ttdf_073c6869b54b,pf_b2df4440b77d,train300,premature_stop,long_horizon_planning,topo_5cf1a13edea8,A
float,4,4,4,4,0.0583,G_4call_linear_variable_pla_00,gt_e7394a0072bd,linear,8,unknown,0.428571,ttdf_666553ac6372,pf_eeb21ef9c92a,train300,too_few_calls,variable_planning,topo_5296967693d8,G
float,4,4,4,4,0.0788,A_4call_linear_variable_pla_00,gt_0ec1fa9b3f3f,linear,8,unknown,0.5,ttdf_04b100a77d6b,pf_b2cd7f958bfd,train300,too_few_calls,variable_planning,topo_5296967693d8,A
float,4,4,2,11,0.0255,G_4call_branch_aggregate_tool_catalog_00,gt_0f64be964c9f,branch_aggregate,15,unknown,0.375,ttdf_44a69f3a000c,pf_ea0ac1615ca4,train300,distractor_confusion,tool_catalog_search,topo_64b2717a77dd,G
float,6+,7,5,10,0.0159,A_6pcall_fan_in_tool_catalog_01,gt_e785803c9c9b,fan_in,17,unknown,0.5,ttdf_69d78b25ecdb,pf_605ec5379908,train300,distractor_confusion,tool_catalog_search,topo_9e01698159b0,A
float,3,3,2,8,0.0292,G_3call_fan_in_variable_pla_00,gt_5526feb7ace9,fan_in,11,unknown,0.4,ttdf_6b382eec9221,pf_3abc53c19edb,train300,too_few_calls,variable_planning,topo_911586a55488,G
float,4,4,4,4,0.0,G_4call_linear_variable_pla_00,gt_a8f07bac69c9,linear,8,unknown,0.333333,ttdf_32f8db136cdc,pf_e285bf4620ec,train300,too_few_calls,variable_planning,topo_5296967693d8,G
float,3,3,2,10,0.056,A_3call_fan_in_tool_catalog_01,gt_3b4ee6d4b07f,fan_in,13,unknown,0.333333,ttdf_91ce845dfc74,pf_395c10d7196a,train300,distractor_confusion,tool_catalog_search,topo_911586a55488,A
float,3,3,2,8,0.0,G_3call_fan_in_variable_pla_00,gt_cb9ed77a2f5f,fan_in,11,unknown,0.333333,ttdf_e53835bd8b41,pf_62eca19e1e35,train300,too_few_calls,variable_planning,topo_911586a55488,G
float,2,2,2,8,0.0219,A_2call_linear_continuation_04,gt_593776dcf098,linear,10,unknown,0.142857,ttdf_69e7c7a49fab,pf_063dfcc11cda,train300,wrong_second_tool_after_correct_prefix,continuation_after_observation,topo_fdeb50f24873,A
float,6+,8,5,8,0.0711,A_6pcall_fan_in_tool_catalog_01,gt_1ce269dc60a3,fan_in,16,unknown,0.5,ttdf_ee3338b844bc,pf_e9f0b8ee8343,train300,distractor_confusion,tool_catalog_search,topo_c39b8213eda5,A
int,6+,6,6,2,0.0,A_6pcall_linear_long_horizon_00,gt_3ed5d7ce794c,linear,8,unknown,0.5,ttdf_a321a8fea7c6,pf_b164c3db1bba,train300,premature_stop,long_horizon_planning,topo_02b29308ce2b,A
numeric_string,2,2,2,7,0.065,A_2call_linear_continuation_03,gt_0dd1f0c06b09,linear,9,unknown,0.2,ttdf_aea8532a868d,pf_486badcc82b8,train300,numeric_string_confusion,argument_typing,topo_fdeb50f24873,A
int,6+,6,4,7,0.035,G_6pcall_branch_aggregate_tool_catalog_00,gt_0f5705bd909a,branch_aggregate,13,unknown,0.454545,ttdf_66d5f1634190,pf_9e20455eab3b,train300,distractor_confusion,tool_catalog_search,topo_8c144cdbfcfb,G
float,3,3,2,11,0.0207,A_3call_fan_in_tool_catalog_01,gt_a6e9c4cb12b3,fan_in,14,unknown,0.4,ttdf_56bf89459e7b,pf_f62f5390b18a,train300,distractor_confusion,tool_catalog_search,topo_911586a55488,A
float,6+,6,5,7,0.0083,G_6pcall_fan_in_tool_catalog_01,gt_bb12f3967b4f,fan_in,13,unknown,0.555556,ttdf_2432f8fea920,pf_69a1e69dcf86,train300,distractor_confusion,tool_catalog_search,topo_926312b15db7,G
float,2,2,2,12,0.0,A_2call_linear_tool_catalog_05,gt_84f219ac023d,linear,14,unknown,0.333333,ttdf_714fa6330c3c,pf_dc5b669a400b,train300,distractor_confusion,tool_catalog_search,topo_fdeb50f24873,A
float,6+,8,8,1,0.0,G_6pcall_linear_long_horizon_00,gt_c8d4aaa97703,linear,9,unknown,0.5,ttdf_450ce5ca6048,pf_3b3459281226,train300,premature_stop,long_horizon_planning,topo_ff8ead63c33b,G
float,3,3,2,13,0.0162,A_3call_fan_in_tool_catalog_01,gt_a6e9c4cb12b3,fan_in,16,unknown,0.333333,ttdf_8e5da6fd9015,pf_554ce214dca6,train300,distractor_confusion,tool_catalog_search,topo_911586a55488,A
float,2,2,2,9,0.0389,A_2call_linear_continuation_04,gt_593776dcf098,linear,11,unknown,0.142857,ttdf_57d7f411a136,pf_a460915489a2,train300,wrong_second_tool_after_correct_prefix,continuation_after_observation,topo_fdeb50f24873,A
float,2,2,2,6,0.0,G_2call_linear_continuation_03,gt_475bbf724df0,linear,8,unknown,0.5,ttdf_b9c7c5612106,pf_cab99a7511ba,train300,wrong_second_tool_after_correct_prefix,continuation_after_observation,topo_fdeb50f24873,G
bool,2,2,2,10,0.0583,A_2call_linear_continuation_01,gt_dfaf3c6d7b7a,linear,12,unknown,0.2,ttdf_d445e31ec556,pf_30af66c5b0cd,train300,wrong_second_tool_after_correct_prefix,continuation_after_observation,topo_fdeb50f24873,A
float,6+,7,6,3,0.0665,A_6pcall_fan_in_long_horizon_00,gt_8d666f70d08b,fan_in,10,unknown,0.428571,ttdf_adc8691711e1,pf_2b20c07995e4,train300,premature_stop,long_horizon_planning,topo_e5fe9f153cd3,A
float,2,2,2,10,0.014,G_2call_linear_continuation_01,gt_475bbf724df0,linear,12,unknown,0.5,ttdf_b0378d970ec5,pf_c2cf2e328d73,train300,wrong_second_tool_after_correct_prefix,continuation_after_observation,topo_fdeb50f24873,G
float,2,2,2,16,0.0,A_2call_linear_tool_catalog_02,gt_84f219ac023d,linear,18,unknown,0.333333,ttdf_9c88a0d5bac6,pf_ebb70873f9f5,train300,distractor_confusion,tool_catalog_search,topo_fdeb50f24873,A
float,4,4,4,5,0.0292,G_4call_linear_variable_pla_00,gt_f2b4ecce50fe,linear,9,unknown,0.6,ttdf_4afe482200e9,pf_bb386bf7d7a5,train300,too_few_calls,variable_planning,topo_5296967693d8,G
float,2,2,2,16,0.058,A_2call_linear_tool_catalog_05,gt_593776dcf098,linear,18,unknown,0.125,ttdf_6664b63ddfd4,pf_3867ffe1d1ab,train300,distractor_confusion,tool_catalog_search,topo_fdeb50f24873,A
list,3,3,3,6,0.07,A_3call_linear_variable_pla_00,gt_bdd7cf5827de,linear,9,unknown,0.25,ttdf_e5021edcbcdb,pf_8baf8e6a54d3,train300,too_few_calls,variable_planning,topo_1c8dbe1830b2,A
list,3,3,3,6,0.0457,A_3call_linear_variable_pla_00,gt_bdd7cf5827de,linear,9,unknown,0.285714,ttdf_663a6484d0e5,pf_8f15bc8c2950,train300,too_few_calls,variable_planning,topo_1c8dbe1830b2,A
float,4,4,3,8,0.07,A_4call_fan_in_variable_pla_00,gt_683fbba89f9d,fan_in,12,unknown,0.5,ttdf_3d16ba355ab3,pf_f880e4e9621d,train300,too_few_calls,variable_planning,topo_30980484d6d7,A
float,6+,6,5,11,0.0345,A_6pcall_fan_in_tool_catalog_01,gt_8512af54e95e,fan_in,17,unknown,0.5,ttdf_086b0471e443,pf_c16bf9d79561,train300,distractor_confusion,tool_catalog_search,topo_926312b15db7,A
float,3,3,3,6,0.0437,G_3call_linear_variable_pla_00,gt_9def4274cf86,linear,9,unknown,0.222222,ttdf_18f30aeb87df,pf_a9cdf2bca3fe,train300,too_few_calls,variable_planning,topo_1c8dbe1830b2,G
int,6+,6,6,3,0.0972,A_6pcall_linear_long_horizon_00,gt_3d68e8c0db11,linear,9,unknown,0.357143,ttdf_8b6bd6e0d113,pf_fbb7593648b7,train300,premature_stop,long_horizon_planning,topo_02b29308ce2b,A
string,5,5,4,5,0.014,A_5call_fan_in_long_horizon_00,gt_04b1b0604109,fan_in,10,unknown,0.5,ttdf_9e944e9be9ad,pf_887daae5470c,train300,premature_stop,long_horizon_planning,topo_7279e5f4b24a,A
bool,2,2,2,10,0.0,A_2call_linear_continuation_01,gt_c3d71141b1a5,linear,12,unknown,0.25,ttdf_702a492e1d93,pf_af0ee5025069,train300,wrong_second_tool_after_correct_prefix,continuation_after_observation,topo_fdeb50f24873,A
float,2,2,2,6,0.0,G_2call_linear_continuation_03,gt_593776dcf098,linear,8,unknown,0.166667,ttdf_1b88e197cf8c,pf_1ff0a775ed52,train300,wrong_second_tool_after_correct_prefix,continuation_after_observation,topo_fdeb50f24873,G
float,2,2,2,6,0.0,G_2call_linear_continuation_00,gt_593776dcf098,linear,8,unknown,0.2,ttdf_5e8ed8ea8e8c,pf_ca5b8f270978,train300,wrong_second_tool_after_correct_prefix,continuation_after_observation,topo_fdeb50f24873,G
float,4,4,3,8,0.0459,A_4call_fan_in_variable_pla_00,gt_dfb057a8d38c,fan_in,12,unknown,0.5,ttdf_feca9749fcb1,pf_0f51e8fb2bfd,train300,too_few_calls,variable_planning,topo_5b37b75596d2,A
float,3,3,3,6,0.0194,G_3call_linear_variable_pla_00,gt_74ab08262949,linear,9,unknown,0.4,ttdf_404c1b18b8c7,pf_10642aafbb72,train300,too_few_calls,variable_planning,topo_1c8dbe1830b2,G
float,2,2,2,8,0.0,A_2call_linear_continuation_04,gt_84f219ac023d,linear,10,unknown,0.333333,ttdf_1212887f9519,pf_9a4cff284ba9,train300,wrong_second_tool_after_correct_prefix,continuation_after_observation,topo_fdeb50f24873,A
bool,2,2,2,8,0.0088,A_2call_linear_continuation_01,gt_c3d71141b1a5,linear,10,unknown,0.333333,ttdf_1944101ba044,pf_2b9ba27b6030,train300,wrong_second_tool_after_correct_prefix,continuation_after_observation,topo_fdeb50f24873,A
float,2,2,2,9,0.0194,G_2call_linear_continuation_01,gt_84f219ac023d,linear,11,unknown,0.333333,ttdf_c4b9bd3d8f9b,pf_55e55d76f597,train300,wrong_second_tool_after_correct_prefix,continuation_after_observation,topo_fdeb50f24873,G
float,5,5,5,3,0.0292,G_5call_linear_long_horizon_00,gt_0c3d1f6d534b,linear,8,unknown,0.444444,ttdf_da8bde0dff1f,pf_e320748a4438,train300,premature_stop,long_horizon_planning,topo_d228dd6db98a,G
string,5,5,4,5,0.0292,A_5call_fan_in_long_horizon_00,gt_90872a8d2737,fan_in,10,unknown,0.4,ttdf_33820d4ecd0d,pf_0029d1a601bd,train300,premature_stop,long_horizon_planning,topo_7279e5f4b24a,A
float,2,2,2,16,0.0295,A_2call_linear_tool_catalog_02,gt_84f219ac023d,linear,18,unknown,0.333333,ttdf_ab3e20f5b9f5,pf_abd10acd3573,train300,distractor_confusion,tool_catalog_search,topo_fdeb50f24873,A
float,3,3,2,15,0.0152,A_3call_fan_in_tool_catalog_01,gt_322b5979bec6,fan_in,18,unknown,0.4,ttdf_adb0a11b7c8e,pf_98c108b690a1,train300,distractor_confusion,tool_catalog_search,topo_911586a55488,A
float,3,3,2,9,0.0,G_3call_fan_in_variable_pla_00,gt_cb9ed77a2f5f,fan_in,12,unknown,0.4,ttdf_7ac454e86368,pf_51475c85b2b9,train300,too_few_calls,variable_planning,topo_911586a55488,G
float,4,4,2,11,0.0223,A_4call_branch_aggregate_tool_catalog_00,gt_6ed567ce6a09,branch_aggregate,15,unknown,0.375,ttdf_29bfff643f76,pf_3f6a455560ee,train300,distractor_confusion,tool_catalog_search,topo_64b2717a77dd,A
float,2,2,2,13,0.0,A_2call_linear_tool_catalog_05,gt_29243c224d3b,linear,15,unknown,0.333333,ttdf_626b144f651f,pf_f2a3b1bf7def,train300,distractor_confusion,tool_catalog_search,topo_fdeb50f24873,A
float,2,2,2,6,0.0097,G_2call_linear_continuation_03,gt_84f219ac023d,linear,8,unknown,0.333333,ttdf_709a6c29cef8,pf_c70cbeffe26d,train300,wrong_second_tool_after_correct_prefix,continuation_after_observation,topo_fdeb50f24873,G
list,3,3,3,5,0.0642,A_3call_linear_variable_pla_00,gt_55ebfde00b33,linear,8,unknown,0.222222,ttdf_9ddbf3736946,pf_497ce84809f0,train300,too_few_calls,variable_planning,topo_1c8dbe1830b2,A
bool,2,2,2,10,0.0,A_2call_linear_continuation_01,gt_dfaf3c6d7b7a,linear,12,unknown,0.25,ttdf_415f443311b4,pf_35b6a2c7bd6e,train300,wrong_second_tool_after_correct_prefix,continuation_after_observation,topo_fdeb50f24873,A
float,5,5,4,7,0.0272,G_5call_fan_in_long_horizon_00,gt_6d0e21509f50,fan_in,12,unknown,0.5,ttdf_1da08641a085,pf_0817d7d456a7,train300,premature_stop,long_horizon_planning,topo_2b041b861492,G
float,6+,7,6,8,0.0306,A_6pcall_fan_in_tool_catalog_01,gt_57d089ac362c,fan_in,15,unknown,0.545455,ttdf_a7f57d6e2366,pf_46cd32f98b8d,train300,distractor_confusion,tool_catalog_search,topo_e5fe9f153cd3,A
float,6+,7,4,11,0.0287,A_6pcall_fan_in_tool_catalog_01,gt_a05c1f7f0639,fan_in,18,unknown,0.428571,ttdf_f143ef6a8d1a,pf_0f305da37029,train300,distractor_confusion,tool_catalog_search,topo_63f405a71afa,A
float,6+,8,5,8,0.0663,A_6pcall_fan_in_tool_catalog_01,gt_4c4b533dca6d,fan_in,16,unknown,0.466667,ttdf_4bf9490a9e1e,pf_07d476eb3a4b,train300,distractor_confusion,tool_catalog_search,topo_bf579ac7c4b1,A
bool,2,2,2,10,0.0379,A_2call_linear_continuation_01,gt_dfaf3c6d7b7a,linear,12,unknown,0.2,ttdf_4fb15030a374,pf_4f6a2062a24b,train300,wrong_second_tool_after_correct_prefix,continuation_after_observation,topo_fdeb50f24873,A
numeric_string,2,2,2,6,0.0117,A_2call_linear_continuation_03,gt_4089c427c015,linear,8,unknown,0.333333,ttdf_3bd0f2ffa9c7,pf_cbf4f6ae6cf6,train300,numeric_string_confusion,argument_typing,topo_fdeb50f24873,A
float,5,5,3,10,0.0478,A_5call_branch_aggregate_tool_catalog_00,gt_883a97f83799,branch_aggregate,15,unknown,0.363636,ttdf_a007fb88e5a8,pf_84cf9d94ee63,train300,distractor_confusion,tool_catalog_search,topo_926c72bac680,A
float,3,3,2,9,0.0233,G_3call_fan_in_variable_pla_00,gt_a6e9c4cb12b3,fan_in,12,unknown,0.4,ttdf_095955eab09a,pf_37abd1db92fc,train300,too_few_calls,variable_planning,topo_911586a55488,G
float,6+,7,5,11,0.0613,G_6pcall_fan_in_tool_catalog_01,gt_6ca94d35b66a,fan_in,18,unknown,0.461538,ttdf_ebcc48b28d17,pf_24d969aa3c92,train300,distractor_confusion,tool_catalog_search,topo_9e01698159b0,G
bool,2,2,2,10,0.0753,A_2call_linear_continuation_01,gt_c044505ea255,linear,12,unknown,0.125,ttdf_69b205909ba2,pf_371070697d8c,train300,wrong_second_tool_after_correct_prefix,continuation_after_observation,topo_fdeb50f24873,A
string,4,4,3,7,0.0,G_4call_fan_in_variable_pla_00,gt_1ae4a196c464,fan_in,11,unknown,0.5,ttdf_91c17367ae01,pf_36c4033a8cbb,train300,too_few_calls,variable_planning,topo_bd3dd51ec1a9,G
float,2,2,2,9,0.0,G_2call_linear_continuation_04,gt_84f219ac023d,linear,11,unknown,0.333333,ttdf_6d5d2df8e87e,pf_11b29a63aec3,train300,wrong_second_tool_after_correct_prefix,continuation_after_observation,topo_fdeb50f24873,G
numeric_string,2,2,2,7,0.02,A_2call_linear_continuation_03,gt_7b998d2a167f,linear,9,unknown,0.5,ttdf_8a92a1d9bda8,pf_b3cf0da6f6b7,train300,numeric_string_confusion,argument_typing,topo_fdeb50f24873,A
float,3,3,2,7,0.0,A_3call_fan_in_variable_pla_00,gt_a6e9c4cb12b3,fan_in,10,unknown,0.4,ttdf_57b5548d9406,pf_60a8fe446ad1,train300,too_few_calls,variable_planning,topo_911586a55488,A
float,4,4,2,9,0.035,G_4call_branch_aggregate_tool_catalog_00,gt_6ed567ce6a09,branch_aggregate,13,unknown,0.375,ttdf_adb3076a4249,pf_375441eeed38,train300,distractor_confusion,tool_catalog_search,topo_64b2717a77dd,G
string,5,5,4,7,0.0383,A_5call_fan_in_long_horizon_00,gt_04b1b0604109,fan_in,12,unknown,0.5,ttdf_dfa5d83b46bf,pf_852c1021fff3,train300,premature_stop,long_horizon_planning,topo_7279e5f4b24a,A
string,5,5,4,7,0.0109,A_5call_fan_in_long_horizon_00,gt_90872a8d2737,fan_in,12,unknown,0.4,ttdf_83a61f0aa532,pf_3725aa8da813,train300,premature_stop,long_horizon_planning,topo_7279e5f4b24a,A
float,4,4,2,14,0.0363,A_4call_branch_aggregate_tool_catalog_00,gt_8be148919345,branch_aggregate,18,unknown,0.375,ttdf_1ae91b3255c9,pf_a701d92fbb5f,train300,distractor_confusion,tool_catalog_search,topo_64b2717a77dd,A
float,3,3,2,15,0.0486,A_3call_fan_in_tool_catalog_01,gt_3b4ee6d4b07f,fan_in,18,unknown,0.333333,ttdf_535a92504ff3,pf_f7b9d454591a,train300,distractor_confusion,tool_catalog_search,topo_911586a55488,A
float,2,2,2,6,0.0194,G_2call_linear_continuation_00,gt_593776dcf098,linear,8,unknown,0.166667,ttdf_27a65d5730a0,pf_22d479d730a2,train300,wrong_second_tool_after_correct_prefix,continuation_after_observation,topo_fdeb50f24873,G
bool,2,2,2,9,0.0097,A_2call_linear_continuation_01,gt_dfaf3c6d7b7a,linear,11,unknown,0.25,ttdf_7c7e391ab5eb,pf_0b9b3bc7a9b9,train300,wrong_second_tool_after_correct_prefix,continuation_after_observation,topo_fdeb50f24873,A
float,4,4,3,8,0.0389,A_4call_fan_in_variable_pla_00,gt_f0a42ea2dd03,fan_in,12,unknown,0.5,ttdf_7c2600233dfc,pf_8a3d288f2375,train300,too_few_calls,variable_planning,topo_5b37b75596d2,A
float,3,3,2,8,0.0,G_3call_fan_in_variable_pla_00,gt_322b5979bec6,fan_in,11,unknown,0.4,ttdf_7e3b94e5852d,pf_502bb3801da4,train300,too_few_calls,variable_planning,topo_911586a55488,G
float,4,4,3,6,0.0,A_4call_fan_in_variable_pla_00,gt_67dccbffbe14,fan_in,10,unknown,0.428571,ttdf_27aa7816b261,pf_b2dfb4f7e2fd,train300,too_few_calls,variable_planning,topo_30980484d6d7,A
float,2,2,2,16,0.0,G_2call_linear_tool_catalog_02,gt_84f219ac023d,linear,18,unknown,0.333333,ttdf_9da280149954,pf_097f48c2e8a5,train300,distractor_confusion,tool_catalog_search,topo_fdeb50f24873,G
float,6+,6,6,3,0.0389,G_6pcall_linear_long_horizon_00,gt_3530671ddead,linear,9,unknown,0.454545,ttdf_f44f7cd5c652,pf_ac49927b07a1,train300,premature_stop,long_horizon_planning,topo_02b29308ce2b,G
string,5,5,4,5,0.0455,A_5call_fan_in_long_horizon_00,gt_844b63bfd528,fan_in,10,unknown,0.5,ttdf_b0286c035ff7,pf_2cb618a95046,train300,premature_stop,long_horizon_planning,topo_0c51481d8aeb,A
float,2,2,2,13,0.0,A_2call_linear_tool_catalog_02,gt_84f219ac023d,linear,15,unknown,0.333333,ttdf_c60223f1aab8,pf_68d1c2408c70,train300,distractor_confusion,tool_catalog_search,topo_fdeb50f24873,A
int,6+,6,4,7,0.0617,G_6pcall_branch_aggregate_tool_catalog_00,gt_15d0a0addb6b,branch_aggregate,13,unknown,0.454545,ttdf_49ff06c5abb1,pf_2962e0f1db3c,train300,distractor_confusion,tool_catalog_search,topo_8c144cdbfcfb,G
float,6+,6,6,3,0.0583,G_6pcall_linear_long_horizon_00,gt_c78d04855fcc,linear,9,unknown,0.5,ttdf_0969cde120d2,pf_b2827754ce01,train300,premature_stop,long_horizon_planning,topo_02b29308ce2b,G
float,4,4,2,11,0.0159,A_4call_branch_aggregate_tool_catalog_00,gt_6ed567ce6a09,branch_aggregate,15,unknown,0.375,ttdf_b02ae36ee259,pf_c90eee434c72,train300,distractor_confusion,tool_catalog_search,topo_64b2717a77dd,A
float,4,4,4,5,0.0642,A_4call_linear_variable_pla_00,gt_e748a9824b25,linear,9,unknown,0.375,ttdf_88e4f6fda445,pf_027028fe48dd,train300,too_few_calls,variable_planning,topo_5296967693d8,A
