dominant_output_key,n_refs,output_key_hist,pattern_hist,sample_id,source
output_0,1,{'output_0': 1},{0: 1},ttdf_f172051cb77c,train
output_0,6,{'output_0': 6},{0: 6},ttdf_49dd37193126,train
output_0,2,{'output_0': 2},{0: 2},ttdf_4c8465251e67,train
output_0,5,{'output_0': 5},{0: 5},ttdf_06442de4a574,train
output_0,6,{'output_0': 6},{0: 6},ttdf_32267dc3f1da,train
output_0,1,{'output_0': 1},{0: 1},ttdf_118661fed5d0,train
output_0,4,{'output_0': 4},{0: 4},ttdf_608d3682baf0,train
output_0,2,{'output_0': 2},{0: 2},ttdf_5c3ceb338cf1,train
output_0,1,{'output_0': 1},{0: 1},ttdf_319508cf581c,train
output_0,5,{'output_0': 5},{0: 5},ttdf_64e95c29f73b,train
output_0,5,{'output_0': 5},{0: 5},ttdf_cb645220f1f7,train
output_0,3,{'output_0': 3},{0: 3},ttdf_09ac55e07322,train
output_0,1,{'output_0': 1},{0: 1},ttdf_218958256564,train
output_0,2,{'output_0': 2},{0: 2},ttdf_d9be3672cdab,train
output_0,2,{'output_0': 2},{0: 2},ttdf_9ae0ef4b2e1e,train
output_0,1,{'output_0': 1},{0: 1},ttdf_56a755006bca,train
output_0,2,{'output_0': 2},{0: 2},ttdf_ac49db15e2a7,train
output_0,3,{'output_0': 3},{0: 3},ttdf_1a4aba0f1e57,train
output_0,7,{'output_0': 7},{0: 7},ttdf_e24af81cd6f2,train
output_0,1,{'output_0': 1},{0: 1},ttdf_4d663f78a593,train
output_0,5,{'output_0': 5},{0: 5},ttdf_3a32b63a479d,train
output_0,1,{'output_0': 1},{0: 1},ttdf_f65e28b76b32,train
output_0,3,{'output_0': 3},{0: 3},ttdf_125144b72cb5,train
output_0,4,{'output_0': 4},{0: 4},ttdf_a20c2e3958d9,train
output_0,4,{'output_0': 4},{0: 4},ttdf_474eaed4f2d5,train
output_0,1,{'output_0': 1},{0: 1},ttdf_a00755805f5a,train
output_0,3,{'output_0': 3},{0: 3},ttdf_230e5db52229,train
output_0,3,{'output_0': 3},{0: 3},ttdf_4395ab4804db,train
output_0,1,{'output_0': 1},{0: 1},ttdf_72456fbaceec,train
output_0,5,{'output_0': 5},{0: 5},ttdf_27aaca70dd97,train
output_0,5,{'output_0': 5},{0: 5},ttdf_0da13eb1c2e8,train
output_0,5,{'output_0': 5},{0: 5},ttdf_17a2ddc2dd33,train
output_0,2,{'output_0': 2},{0: 2},ttdf_1cdd7c283176,train
output_0,3,{'output_0': 3},{0: 3},ttdf_ea8c5f94acb7,train
output_0,7,{'output_0': 7},{0: 7},ttdf_0001c0bc1f80,train
output_0,1,{'output_0': 1},{0: 1},ttdf_1a6e38f0369c,train
output_0,5,{'output_0': 5},{0: 5},ttdf_1a01c6d536a4,train
output_0,6,{'output_0': 6},{0: 6},ttdf_0d411ccb498c,train
output_0,5,{'output_0': 5},{0: 5},ttdf_a321a8fea7c6,train
output_0,2,{'output_0': 2},{0: 2},ttdf_227886ccefeb,train
output_0,1,{'output_0': 1},{0: 1},ttdf_04e494f5a70b,train
output_0,1,{'output_0': 1},{0: 1},ttdf_d286d593a710,train
output_0,2,{'output_0': 2},{0: 2},ttdf_262c686d2838,train
output_0,4,{'output_0': 4},{0: 4},ttdf_01c4b480c3d9,train
output_0,1,{'output_0': 1},{0: 1},ttdf_4fd7f3793225,train
output_0,1,{'output_0': 1},{0: 1},ttdf_325530f5c958,train
output_0,2,{'output_0': 2},{0: 2},ttdf_2bc38c9c4e20,train
output_0,3,{'output_0': 3},{0: 3},ttdf_3f0160b25ed5,train
output_0,2,{'output_0': 2},{0: 2},ttdf_699f3954362d,train
output_0,2,{'output_0': 2},{0: 2},ttdf_dab00e9a8e0b,train
output_0,2,{'output_0': 2},{0: 2},ttdf_1f203e751574,train
output_0,1,{'output_0': 1},{0: 1},ttdf_6816b7fc0b9c,train
output_0,3,{'output_0': 3},{0: 3},ttdf_c9fd563a2130,train
output_0,3,{'output_0': 3},{0: 3},ttdf_33305ee7e8a9,train
output_0,2,{'output_0': 2},{0: 2},ttdf_a3836effad43,train
output_0,1,{'output_0': 1},{0: 1},ttdf_14a8147546d7,train
output_0,1,{'output_0': 1},{0: 1},ttdf_5ab1d2b6b663,train
output_0,1,{'output_0': 1},{0: 1},ttdf_043985a8ce1c,train
output_0,3,{'output_0': 3},{0: 3},ttdf_303182f248e9,train
output_0,1,{'output_0': 1},{0: 1},ttdf_005efca1844f,train
output_0,4,{'output_0': 4},{0: 4},ttdf_3fb598048f3d,train
output_0,2,{'output_0': 2},{0: 2},ttdf_57b5548d9406,train
output_0,5,{'output_0': 5},{0: 5},ttdf_5234b52034e7,train
output_0,5,{'output_0': 5},{0: 5},ttdf_0612ae6230c8,train
output_0,1,{'output_0': 1},{0: 1},ttdf_3ab27f7a489e,train
output_0,1,{'output_0': 1},{0: 1},ttdf_02ffa6ab4799,train
output_0,2,{'output_0': 2},{0: 2},ttdf_0d64a00f5dbd,train
output_0,4,{'output_0': 4},{0: 4},ttdf_45503416c7e3,train
output_0,4,{'output_0': 4},{0: 4},ttdf_5ca8a1664d95,train
output_0,2,{'output_0': 2},{0: 2},ttdf_d898b08082c1,train
output_0,1,{'output_0': 1},{0: 1},ttdf_7452e3961ad2,train
output_0,5,{'output_0': 5},{0: 5},ttdf_00eea86dd3fb,train
output_0,1,{'output_0': 1},{0: 1},ttdf_424b15d64dbd,train
output_0,1,{'output_0': 1},{0: 1},ttdf_77a17198d6a2,train
output_0,1,{'output_0': 1},{0: 1},ttdf_1c5edf726d90,train
output_0,2,{'output_0': 2},{0: 2},ttdf_7ce7005320b7,train
output_0,5,{'output_0': 5},{0: 5},ttdf_8940ad9d46bf,train
output_0,5,{'output_0': 5},{0: 5},ttdf_001c7f87d8d1,train
output_0,1,{'output_0': 1},{0: 1},ttdf_5403047f1029,train
output_0,2,{'output_0': 2},{0: 2},ttdf_42dfe03aa03e,train
output_0,1,{'output_0': 1},{0: 1},ttdf_934faf8ba01c,train
output_0,7,{'output_0': 7},{0: 7},ttdf_83c35dcd6096,train
output_0,1,{'output_0': 1},{0: 1},ttdf_c48004ec37d3,train
output_0,2,{'output_0': 2},{0: 2},ttdf_6699e83d94fd,train
output_0,3,{'output_0': 3},{0: 3},ttdf_1691c4ac38d4,train
output_0,3,{'output_0': 3},{0: 3},ttdf_2c91c6df24d4,train
output_0,1,{'output_0': 1},{0: 1},ttdf_797de6038af8,train
output_0,5,{'output_0': 5},{0: 5},ttdf_17b15dbab77c,train
output_0,1,{'output_0': 1},{0: 1},ttdf_01c298009b82,train
output_0,6,{'output_0': 6},{0: 6},ttdf_119efa6f9fb7,train
output_0,7,{'output_0': 7},{0: 7},ttdf_12f3a73f71fc,train
output_0,4,{'output_0': 4},{0: 4},ttdf_3799eac59203,train
output_0,2,{'output_0': 2},{0: 2},ttdf_297b6a171cb4,train
output_0,4,{'output_0': 4},{0: 4},ttdf_dbca6ce17e9d,train
output_0,3,{'output_0': 3},{0: 3},ttdf_0770a215aedc,train
output_0,1,{'output_0': 1},{0: 1},ttdf_deae1f887c12,train
output_0,4,{'output_0': 4},{0: 4},ttdf_735f00969599,train
output_0,4,{'output_0': 4},{0: 4},ttdf_61719d1d9a53,train
output_0,6,{'output_0': 6},{0: 6},ttdf_0acb949c0b84,train
output_0,4,{'output_0': 4},{0: 4},ttdf_65e2342e8c96,train
output_0,3,{'output_0': 3},{0: 3},ttdf_5d4a18f14a8d,train
output_0,1,{'output_0': 1},{0: 1},ttdf_0ba4ae72e658,train
output_0,2,{'output_0': 2},{0: 2},ttdf_17671b0fdf34,train
output_0,1,{'output_0': 1},{0: 1},ttdf_1049e047f9b8,train
output_0,1,{'output_0': 1},{0: 1},ttdf_5c216c99a0bc,train
output_0,1,{'output_0': 1},{0: 1},ttdf_06c164ef0719,train
output_0,3,{'output_0': 3},{0: 3},ttdf_72a4ddab8909,train
output_0,3,{'output_0': 3},{0: 3},ttdf_48f8a8e09070,train
output_0,2,{'output_0': 2},{0: 2},ttdf_79b247cc2dfb,train
output_0,1,{'output_0': 1},{0: 1},ttdf_17d073e41e97,train
output_0,1,{'output_0': 1},{0: 1},ttdf_fe94a5e2dc42,train
output_0,3,{'output_0': 3},{0: 3},ttdf_f523384deaaa,train
output_0,2,{'output_0': 2},{0: 2},ttdf_bc033ff3550b,train
output_0,5,{'output_0': 5},{0: 5},ttdf_2a8ba9d8e1d3,train
output_0,1,{'output_0': 1},{0: 1},ttdf_b45a0be1f14a,train
output_0,3,{'output_0': 3},{0: 3},ttdf_bb161cd7a302,train
output_0,4,{'output_0': 4},{0: 4},ttdf_f1edfb73d1e7,train
output_0,6,{'output_0': 6},{0: 6},ttdf_9966934901e2,train
output_0,5,{'output_0': 5},{0: 5},ttdf_f0084b77cec7,train
output_0,2,{'output_0': 2},{0: 2},ttdf_3a6f2a53f095,train
output_0,7,{'output_0': 7},{0: 7},ttdf_c7e061423748,train
output_0,2,{'output_0': 2},{0: 2},ttdf_bd653f0dc52b,train
output_0,1,{'output_0': 1},{0: 1},ttdf_ceecb8410fe0,train
output_0,1,{'output_0': 1},{0: 1},ttdf_21faa94b557e,train
output_0,3,{'output_0': 3},{0: 3},ttdf_c57dc4e0751c,train
output_0,2,{'output_0': 2},{0: 2},ttdf_19b91e7a1afd,train
output_0,3,{'output_0': 3},{0: 3},ttdf_01cd93628e62,train
output_0,4,{'output_0': 4},{0: 4},ttdf_a966bd3a5396,train
output_0,5,{'output_0': 5},{0: 5},ttdf_a96e32435698,train
output_0,1,{'output_0': 1},{0: 1},ttdf_125e0e89b2a9,train
output_0,2,{'output_0': 2},{0: 2},ttdf_2186abc0c6f9,train
output_0,2,{'output_0': 2},{0: 2},ttdf_9236b2118b75,train
output_0,6,{'output_0': 6},{0: 6},ttdf_bf3e79d23b48,train
output_0,4,{'output_0': 4},{0: 4},ttdf_4712e1a2c4fb,train
output_0,1,{'output_0': 1},{0: 1},ttdf_e493f3f67ad3,train
output_0,1,{'output_0': 1},{0: 1},ttdf_6d5d2df8e87e,train
output_0,2,{'output_0': 2},{0: 2},ttdf_646939de45a4,train
output_0,4,{'output_0': 4},{0: 4},ttdf_27aa1ab40158,train
output_0,6,{'output_0': 6},{0: 6},ttdf_938c1776280b,train
output_0,3,{'output_0': 3},{0: 3},ttdf_343396db1300,train
output_0,1,{'output_0': 1},{0: 1},ttdf_3d41f12fc382,train
output_0,5,{'output_0': 5},{0: 5},ttdf_4f9a6db16101,train
output_0,1,{'output_0': 1},{0: 1},ttdf_2c958b881eb6,train
output_0,2,{'output_0': 2},{0: 2},ttdf_13647563f2d7,train
output_0,3,{'output_0': 3},{0: 3},ttdf_15feadc31a80,train
output_0,6,{'output_0': 6},{0: 6},ttdf_71260bf92acb,train
output_0,5,{'output_0': 5},{0: 5},ttdf_4a60967acf1e,train
output_0,3,{'output_0': 3},{0: 3},ttdf_11f761e72840,train
output_0,5,{'output_0': 5},{0: 5},ttdf_0567be690a63,train
output_0,3,{'output_0': 3},{0: 3},ttdf_954e0f107ebf,train
output_0,1,{'output_0': 1},{0: 1},ttdf_98bda79ab0d1,train
output_0,1,{'output_0': 1},{0: 1},ttdf_897a8ebc1b51,train
output_0,5,{'output_0': 5},{0: 5},ttdf_5832b7b98c41,train
output_0,1,{'output_0': 1},{0: 1},ttdf_2e28c94981d9,train
output_0,1,{'output_0': 1},{0: 1},ttdf_1a7d4c7d2e73,train
output_0,4,{'output_0': 4},{0: 4},ttdf_831d193c517d,train
output_0,3,{'output_0': 3},{0: 3},ttdf_004ceee60ac5,train
output_0,5,{'output_0': 5},{0: 5},ttdf_0575273c973e,train
output_0,4,{'output_0': 4},{0: 4},ttdf_2245fbf80cf8,train
output_0,2,{'output_0': 2},{0: 2},ttdf_1cc8cb9986f0,train
output_0,5,{'output_0': 5},{0: 5},ttdf_2c0fb7585a5f,train
output_0,4,{'output_0': 4},{0: 4},ttdf_f08af46ff06c,train
output_0,3,{'output_0': 3},{0: 3},ttdf_0a4579a55e3e,train
output_0,1,{'output_0': 1},{0: 1},ttdf_109a9a2eb248,train
output_0,1,{'output_0': 1},{0: 1},ttdf_ca1d484c9c96,train
output_0,1,{'output_0': 1},{0: 1},ttdf_272ce16153d2,train
output_0,1,{'output_0': 1},{0: 1},ttdf_3b4ca8df8340,train
output_0,2,{'output_0': 2},{0: 2},ttdf_4df65eb35420,train
output_0,4,{'output_0': 4},{0: 4},ttdf_fd9f15c86e82,train
output_0,5,{'output_0': 5},{0: 5},ttdf_5c9bfe7c5eeb,train
output_0,1,{'output_0': 1},{0: 1},ttdf_4fb15030a374,train
output_0,6,{'output_0': 6},{0: 6},ttdf_8db5901e0f81,train
output_0,3,{'output_0': 3},{0: 3},ttdf_4ba278446d22,train
output_0,1,{'output_0': 1},{0: 1},ttdf_1383b56ac315,train
output_0,7,{'output_0': 7},{0: 7},ttdf_450ce5ca6048,train
output_0,1,{'output_0': 1},{0: 1},ttdf_712be6a2b0d4,train
output_0,7,{'output_0': 7},{0: 7},ttdf_33c3736160e6,train
output_0,5,{'output_0': 5},{0: 5},ttdf_19a21384e2ba,train
output_0,5,{'output_0': 5},{0: 5},ttdf_f2e290f68a14,train
output_0,2,{'output_0': 2},{0: 2},ttdf_18bd5adee8cd,train
output_0,1,{'output_0': 1},{0: 1},ttdf_1146308536be,train
output_0,1,{'output_0': 1},{0: 1},ttdf_5583e9093f36,train
output_0,1,{'output_0': 1},{0: 1},ttdf_81ae16afa8a0,train
output_0,5,{'output_0': 5},{0: 5},ttdf_d97a77cb50c8,train
output_0,7,{'output_0': 7},{0: 7},ttdf_88db3bb9c110,train
output_0,2,{'output_0': 2},{0: 2},ttdf_b821df28975e,train
output_0,2,{'output_0': 2},{0: 2},ttdf_b11e0c22e08e,train
output_0,3,{'output_0': 3},{0: 3},ttdf_35655e0b2603,train
output_0,2,{'output_0': 2},{0: 2},ttdf_470d58b1d06f,train
output_0,2,{'output_0': 2},{0: 2},ttdf_6b36336b66ae,train
output_0,2,{'output_0': 2},{0: 2},ttdf_82703d6a0d7e,train
output_0,3,{'output_0': 3},{0: 3},ttdf_53bf21b903a7,train
output_0,5,{'output_0': 5},{0: 5},ttdf_07bf20b2416e,train
output_0,3,{'output_0': 3},{0: 3},ttdf_1bf6c5e23d34,train
output_0,4,{'output_0': 4},{0: 4},ttdf_a31e86877e4c,train
output_0,1,{'output_0': 1},{0: 1},ttdf_73596c9703cc,train
output_0,3,{'output_0': 3},{0: 3},ttdf_72bdb8dd4fbf,train
output_0,2,{'output_0': 2},{0: 2},ttdf_38b1f24fdba4,train
output_0,1,{'output_0': 1},{0: 1},ttdf_e3733a0bc54a,train
output_0,1,{'output_0': 1},{0: 1},ttdf_54eb0c0e425c,train
output_0,7,{'output_0': 7},{0: 7},ttdf_5f0209e88851,train
output_0,5,{'output_0': 5},{0: 5},ttdf_c02e6ca784a5,train
output_0,6,{'output_0': 6},{0: 6},ttdf_58f08c4edc40,train
output_0,4,{'output_0': 4},{0: 4},ttdf_3b2cc1a549da,train
output_0,1,{'output_0': 1},{0: 1},ttdf_1e61b3899278,train
output_0,6,{'output_0': 6},{0: 6},ttdf_58f71101b86b,train
output_0,2,{'output_0': 2},{0: 2},ttdf_9c6978bb26f3,train
output_0,1,{'output_0': 1},{0: 1},ttdf_cd4fb2c82b9a,train
output_0,4,{'output_0': 4},{0: 4},ttdf_04bb083de833,train
output_0,5,{'output_0': 5},{0: 5},ttdf_8e25a3c3d4b0,train
output_0,2,{'output_0': 2},{0: 2},ttdf_f6b902a8de54,train
output_0,1,{'output_0': 1},{0: 1},ttdf_0ce8913d0334,train
output_0,4,{'output_0': 4},{0: 4},ttdf_1784a7d130c4,train
output_0,5,{'output_0': 5},{0: 5},ttdf_7b8db9955d51,train
output_0,4,{'output_0': 4},{0: 4},ttdf_7c88aeaeb582,train
output_0,1,{'output_0': 1},{0: 1},ttdf_44b01616a487,train
output_0,5,{'output_0': 5},{0: 5},ttdf_209b1a2b8bb1,train
output_0,1,{'output_0': 1},{0: 1},ttdf_330334b5a8ee,train
output_0,7,{'output_0': 7},{0: 7},ttdf_093f5f1c7a5c,train
output_0,1,{'output_0': 1},{0: 1},ttdf_1fbbe1962989,train
output_0,2,{'output_0': 2},{0: 2},ttdf_a27ee767b260,train
output_0,3,{'output_0': 3},{0: 3},ttdf_67a6c973d4d7,train
output_0,3,{'output_0': 3},{0: 3},ttdf_28a45ed58282,train
output_0,6,{'output_0': 6},{0: 6},ttdf_46c52bed205e,train
output_0,4,{'output_0': 4},{0: 4},ttdf_a36a302e3a68,train
output_0,7,{'output_0': 7},{0: 7},ttdf_1703e497b2ae,train
output_0,3,{'output_0': 3},{0: 3},ttdf_67945aea207c,train
output_0,1,{'output_0': 1},{0: 1},ttdf_90db64712927,train
output_0,2,{'output_0': 2},{0: 2},ttdf_62046f3f6ffe,train
output_0,6,{'output_0': 6},{0: 6},ttdf_8a212faaa6ac,train
output_0,1,{'output_0': 1},{0: 1},ttdf_2d9eb714eff9,train
output_0,5,{'output_0': 5},{0: 5},ttdf_1d3da88ad525,train
output_0,1,{'output_0': 1},{0: 1},ttdf_85cd4058f920,train
output_0,1,{'output_0': 1},{0: 1},ttdf_cbe96d386138,train
output_0,3,{'output_0': 3},{0: 3},ttdf_4389b3ac4d29,train
output_0,4,{'output_0': 4},{0: 4},ttdf_2455995df85b,train
output_0,5,{'output_0': 5},{0: 5},ttdf_40fe0a0d5ab0,train
output_0,3,{'output_0': 3},{0: 3},ttdf_65c102e8ae6e,train
output_0,1,{'output_0': 1},{0: 1},ttdf_10a611963887,train
output_0,4,{'output_0': 4},{0: 4},ttdf_ddfa3474fa31,train
output_0,4,{'output_0': 4},{0: 4},ttdf_36b57efe7392,train
output_0,5,{'output_0': 5},{0: 5},ttdf_13e86a1c0b0a,train
output_0,1,{'output_0': 1},{0: 1},ttdf_b9c7c5612106,train
output_0,1,{'output_0': 1},{0: 1},ttdf_2ae133ee09f2,train
output_0,5,{'output_0': 5},{0: 5},ttdf_24d44636b99b,train
output_0,3,{'output_0': 3},{0: 3},ttdf_57d750445754,train
output_0,4,{'output_0': 4},{0: 4},ttdf_0347623425c6,train
output_0,1,{'output_0': 1},{0: 1},ttdf_179d52becd83,train
output_0,1,{'output_0': 1},{0: 1},ttdf_f64cb80ebd35,train
output_0,5,{'output_0': 5},{0: 5},ttdf_918a1b8e247c,train
output_0,1,{'output_0': 1},{0: 1},ttdf_f6fd02964091,train
output_0,5,{'output_0': 5},{0: 5},ttdf_2f3bdb3a35c1,train
output_0,1,{'output_0': 1},{0: 1},ttdf_36a216ba2999,train
output_0,5,{'output_0': 5},{0: 5},ttdf_9d77f3ed8fa3,train
