aggregation_arity,branching_score,call_bucket,critical_path_length,depth,edge_density,indegree_hist,linearity_score,max_indegree,max_outdegree,motif,n_calls_with_reference,n_constant_only_calls,n_edges,n_fan_in_nodes,n_fan_out_nodes,n_leaves,n_nodes,n_reused_outputs,n_roots,outdegree_hist,ref_format_counts,reference_density,sample_id,source,tool_names,topology_hash,weakly_connected_components
2.0,0.125,6+,5,5,0.25,"{0: 2, 1: 5, 2: 1}",0.0,2,1,fan_in,6,2,7,1,0,1,8,0,2,"{1: 7, 0: 1}",{0: 7},0.538462,ttdf_2460d1e882f0,train300,minutes_to_seconds|decrease_by_percent|average_of_two|nearest_integer|average_of_two|negate|reminder|average_of_two,topo_bf579ac7c4b1,1
1.0,0.0,6+,6,6,0.333333,"{0: 1, 1: 5}",1.0,1,1,linear,5,1,5,0,0,1,6,0,1,"{1: 5, 0: 1}",{0: 5},0.454545,ttdf_6c5b125b6094,train300,range_of_values|whole_quotient|percent_of|multiply|sqrt|nearest_integer,topo_02b29308ce2b,1
2.0,0.166667,6+,4,4,0.333333,"{0: 2, 1: 3, 2: 1}",0.0,2,1,fan_in,4,2,5,1,0,1,6,0,2,"{1: 5, 0: 1}",{0: 5},0.454545,ttdf_ccbe76d8ecaa,train300,round_to_decimals|quotient_of|nearest_integer|decrease_by_percent|quotient_of|percentage_value,topo_2b9a65f092bb,1
2.0,0.2,5,3,3,0.4,"{0: 2, 1: 2, 2: 1}",0.0,2,1,fan_in,3,2,4,1,0,1,5,0,2,"{1: 4, 0: 1}",{0: 4},0.444444,ttdf_0dbc7c25bb47,train300,gap_between|gap_between|round_up_whole|leftover_after_grouping|proportion_between,topo_17d840e0415f,1
1.0,0.0,6+,8,8,0.25,"{0: 1, 1: 7}",1.0,1,1,linear,7,1,7,0,0,1,8,0,1,"{1: 7, 0: 1}",{0: 7},0.466667,ttdf_287fde663010,train300,average_of_two|floor_divide|divide|decrease_by_percent|increase_by_percent|absolute_difference|round_to_decimals|nearest_integer,topo_ff8ead63c33b,1
3.0,0.2,5,3,3,0.4,"{0: 3, 1: 1, 3: 1}",0.0,3,1,fan_in,2,3,4,1,0,1,5,0,3,"{1: 4, 0: 1}",{0: 4},0.4,ttdf_441384bb0445,train300,product_of_numbers|percent_of|decrease_by_percent|floor|mean_of_three,topo_926c72bac680,1
1.0,0.0,2,2,2,1.0,"{0: 1, 1: 1}",1.0,1,1,linear,1,1,1,0,0,1,2,0,1,"{1: 1, 0: 1}",{0: 1},0.333333,ttdf_178a8a0f527a,train300,self_product|reduce_amount,topo_fdeb50f24873,1
1.0,0.0,3,3,3,0.666667,"{0: 1, 1: 2}",1.0,1,1,linear,2,1,2,0,0,1,3,0,1,"{1: 2, 0: 1}",{0: 2},0.25,ttdf_8d038da60286,train300,percentage_value|ratio_of|scale_values,topo_1c8dbe1830b2,1
1.0,0.0,6+,6,6,0.333333,"{0: 1, 1: 5}",1.0,1,1,linear,5,1,5,0,0,1,6,0,1,"{1: 5, 0: 1}",{0: 5},0.555556,ttdf_7a8cd7efbc21,train300,meters_to_km|nearest_integer|ratio_of|multiply|add|nearest_integer,topo_02b29308ce2b,1
2.0,0.333333,3,2,2,0.666667,"{0: 2, 2: 1}",0.0,2,1,fan_in,1,2,2,1,0,1,3,0,2,"{1: 2, 0: 1}",{0: 2},0.4,ttdf_07480376bda3,train300,round_down_whole|scale_quantity|proportion_between,topo_911586a55488,1
2.0,0.25,4,3,3,0.5,"{0: 2, 2: 1, 1: 1}",0.0,2,1,fan_in,2,2,3,1,0,1,4,0,2,"{1: 3, 0: 1}",{0: 3},0.5,ttdf_230424364880,train300,celsius_from_fahrenheit|root_extract|gap_between|annotate_measurement,topo_bd3dd51ec1a9,1
1.0,0.0,2,2,2,1.0,"{0: 1, 1: 1}",1.0,1,1,linear,1,1,1,0,0,1,2,0,1,"{1: 1, 0: 1}",{0: 1},0.142857,ttdf_4b357fd5b95a,train300,count_of_values|quotient_of,topo_fdeb50f24873,1
1.0,0.0,2,2,2,1.0,"{0: 1, 1: 1}",1.0,1,1,linear,1,1,1,0,0,1,2,0,1,"{1: 1, 0: 1}",{0: 1},0.333333,ttdf_3f2d4ea393f1,train300,parse_numeric_text|format_number_fixed,topo_fdeb50f24873,1
2.0,0.166667,6+,5,5,0.333333,"{0: 2, 1: 3, 2: 1}",0.0,2,1,fan_in,4,2,5,1,0,1,6,0,2,"{1: 5, 0: 1}",{0: 5},0.5,ttdf_342238ec5a2f,train300,trim_precision|portion_by_rate|root_extract|self_product|gap_between|proportion_between,topo_33e36888cf10,1
3.0,0.142857,6+,4,4,0.285714,"{0: 3, 1: 3, 3: 1}",0.0,3,1,fan_in,4,3,6,1,0,1,7,0,3,"{1: 6, 0: 1}",{0: 6},0.428571,ttdf_4b29c1b00ae7,train300,trim_precision|total_of_pair|shrink_by_rate|full_groups_of|remaining_after|balance_of_three|whole_number_of,topo_cff8eb87d925,1
3.0,0.25,4,2,2,0.5,"{0: 3, 3: 1}",0.0,3,1,fan_in,1,3,3,1,0,1,4,0,3,"{1: 3, 0: 1}",{0: 3},0.333333,ttdf_111e18412f56,train300,midpoint_value|full_groups_of|trim_precision|total_of_three_parts,topo_64b2717a77dd,1
1.0,0.0,2,2,2,1.0,"{0: 1, 1: 1}",1.0,1,1,linear,1,1,1,0,0,1,2,0,1,"{1: 1, 0: 1}",{0: 1},0.2,ttdf_06ba5fd3d7c3,train300,ratio_of|is_within_range,topo_fdeb50f24873,1
2.0,0.166667,6+,4,4,0.333333,"{0: 2, 1: 3, 2: 1}",0.0,2,1,fan_in,4,2,5,1,0,1,6,0,2,"{1: 5, 0: 1}",{0: 5},0.5,ttdf_073c6869b54b,train300,seconds_to_full_minutes|difference_of_numbers|round_to_decimals|floor|ratio_of|product_of_numbers,topo_5cf1a13edea8,1
1.0,0.0,4,4,4,0.5,"{0: 1, 1: 3}",1.0,1,1,linear,3,1,3,0,0,1,4,0,1,"{1: 3, 0: 1}",{0: 3},0.428571,ttdf_666553ac6372,train300,combine_amounts|reciprocal_value|split_evenly|proportion_between,topo_5296967693d8,1
1.0,0.0,4,4,4,0.5,"{0: 1, 1: 3}",1.0,1,1,linear,3,1,3,0,0,1,4,0,1,"{1: 3, 0: 1}",{0: 3},0.5,ttdf_04b100a77d6b,train300,fahrenheit_to_celsius|average_of_two|increase_by_percent|floor,topo_5296967693d8,1
3.0,0.25,4,2,2,0.5,"{0: 3, 3: 1}",0.0,3,1,fan_in,1,3,3,1,0,1,4,0,3,"{1: 3, 0: 1}",{0: 3},0.375,ttdf_44a69f3a000c,train300,proportion_between|self_product|gap_between|balance_of_three,topo_64b2717a77dd,1
2.0,0.142857,6+,5,5,0.285714,"{0: 2, 1: 4, 2: 1}",0.0,2,1,fan_in,5,2,6,1,0,1,7,0,2,"{1: 6, 0: 1}",{0: 6},0.5,ttdf_69d78b25ecdb,train300,average_of_two|decrease_by_percent|decrease_by_percent|difference_of_numbers|sqrt|ceiling|percent_of,topo_9e01698159b0,1
2.0,0.333333,3,2,2,0.666667,"{0: 2, 2: 1}",0.0,2,1,fan_in,1,2,2,1,0,1,3,0,2,"{1: 2, 0: 1}",{0: 2},0.4,ttdf_6b382eec9221,train300,trim_precision|reciprocal_value|pairwise_product,topo_911586a55488,1
1.0,0.0,4,4,4,0.5,"{0: 1, 1: 3}",1.0,1,1,linear,3,1,3,0,0,1,4,0,1,"{1: 3, 0: 1}",{0: 3},0.333333,ttdf_32f8db136cdc,train300,aggregate_total|scale_quantity|self_product|per_unit_value,topo_5296967693d8,1
2.0,0.333333,3,2,2,0.666667,"{0: 2, 2: 1}",0.0,2,1,fan_in,1,2,2,1,0,1,3,0,2,"{1: 2, 0: 1}",{0: 2},0.333333,ttdf_91ce845dfc74,train300,increase_by_percent|average_of_two|add,topo_911586a55488,1
2.0,0.333333,3,2,2,0.666667,"{0: 2, 2: 1}",0.0,2,1,fan_in,1,2,2,1,0,1,3,0,2,"{1: 2, 0: 1}",{0: 2},0.333333,ttdf_e53835bd8b41,train300,trim_precision|grow_by_rate|pairwise_product,topo_911586a55488,1
1.0,0.0,2,2,2,1.0,"{0: 1, 1: 1}",1.0,1,1,linear,1,1,1,0,0,1,2,0,1,"{1: 1, 0: 1}",{0: 1},0.142857,ttdf_69e7c7a49fab,train300,mean_of_values|reminder,topo_fdeb50f24873,1
2.0,0.125,6+,5,5,0.25,"{0: 2, 1: 5, 2: 1}",0.0,2,1,fan_in,6,2,7,1,0,1,8,0,2,"{1: 7, 0: 1}",{0: 7},0.5,ttdf_ee3338b844bc,train300,hours_to_minutes|ratio_of|ratio_of|seconds_to_full_minutes|decrease_by_percent|average_of_two|ratio_of|average_of_two,topo_c39b8213eda5,1
1.0,0.0,6+,6,6,0.333333,"{0: 1, 1: 5}",1.0,1,1,linear,5,1,5,0,0,1,6,0,1,"{1: 5, 0: 1}",{0: 5},0.5,ttdf_a321a8fea7c6,train300,meters_to_km|absolute_difference|absolute_difference|average_of_two|absolute_difference|nearest_integer,topo_02b29308ce2b,1
1.0,0.0,2,2,2,1.0,"{0: 1, 1: 1}",1.0,1,1,linear,1,1,1,0,0,1,2,0,1,"{1: 1, 0: 1}",{0: 1},0.2,ttdf_aea8532a868d,train300,range_of_values|number_to_text,topo_fdeb50f24873,1
3.0,0.166667,6+,4,4,0.333333,"{0: 3, 1: 2, 3: 1}",0.0,3,1,fan_in,3,3,5,1,0,1,6,0,3,"{1: 5, 0: 1}",{0: 5},0.454545,ttdf_66d5f1634190,train300,split_evenly|leftover_after_grouping|whole_number_of|split_evenly|dispersion_of_three|whole_number_of,topo_8c144cdbfcfb,1
2.0,0.333333,3,2,2,0.666667,"{0: 2, 2: 1}",0.0,2,1,fan_in,1,2,2,1,0,1,3,0,2,"{1: 2, 0: 1}",{0: 2},0.4,ttdf_56bf89459e7b,train300,difference_of_numbers|sqrt|divide,topo_911586a55488,1
2.0,0.166667,6+,5,5,0.333333,"{0: 2, 1: 3, 2: 1}",0.0,2,1,fan_in,4,2,5,1,0,1,6,0,2,"{1: 5, 0: 1}",{0: 5},0.555556,ttdf_2432f8fea920,train300,flip_sign|reciprocal_value|split_evenly|full_groups_of|minutes_from_hours|midpoint_value,topo_926312b15db7,1
1.0,0.0,2,2,2,1.0,"{0: 1, 1: 1}",1.0,1,1,linear,1,1,1,0,0,1,2,0,1,"{1: 1, 0: 1}",{0: 1},0.333333,ttdf_714fa6330c3c,train300,negate|divide,topo_fdeb50f24873,1
1.0,0.0,6+,8,8,0.25,"{0: 1, 1: 7}",1.0,1,1,linear,7,1,7,0,0,1,8,0,1,"{1: 7, 0: 1}",{0: 7},0.5,ttdf_450ce5ca6048,train300,series_length|pairwise_product|leftover_after_grouping|reciprocal_value|reciprocal_value|pairwise_product|root_extract|combine_amounts,topo_ff8ead63c33b,1
2.0,0.333333,3,2,2,0.666667,"{0: 2, 2: 1}",0.0,2,1,fan_in,1,2,2,1,0,1,3,0,2,"{1: 2, 0: 1}",{0: 2},0.333333,ttdf_8e5da6fd9015,train300,divide|round_to_decimals|add,topo_911586a55488,1
1.0,0.0,2,2,2,1.0,"{0: 1, 1: 1}",1.0,1,1,linear,1,1,1,0,0,1,2,0,1,"{1: 1, 0: 1}",{0: 1},0.142857,ttdf_57d7f411a136,train300,sum_of_values|product_of_numbers,topo_fdeb50f24873,1
1.0,0.0,2,2,2,1.0,"{0: 1, 1: 1}",1.0,1,1,linear,1,1,1,0,0,1,2,0,1,"{1: 1, 0: 1}",{0: 1},0.5,ttdf_b9c7c5612106,train300,round_up_whole|reciprocal_value,topo_fdeb50f24873,1
1.0,0.0,2,2,2,1.0,"{0: 1, 1: 1}",1.0,1,1,linear,1,1,1,0,0,1,2,0,1,"{1: 1, 0: 1}",{0: 1},0.2,ttdf_d445e31ec556,train300,quotient_of|is_within_range,topo_fdeb50f24873,1
2.0,0.142857,6+,6,6,0.285714,"{0: 2, 1: 4, 2: 1}",0.0,2,1,fan_in,5,2,6,1,0,1,7,0,2,"{1: 6, 0: 1}",{0: 6},0.428571,ttdf_adc8691711e1,train300,absolute_difference|modulo_of|absolute_difference|divide|average_of_two|average_of_two|ratio_of,topo_e5fe9f153cd3,1
1.0,0.0,2,2,2,1.0,"{0: 1, 1: 1}",1.0,1,1,linear,1,1,1,0,0,1,2,0,1,"{1: 1, 0: 1}",{0: 1},0.5,ttdf_b0378d970ec5,train300,whole_number_of|root_extract,topo_fdeb50f24873,1
1.0,0.0,2,2,2,1.0,"{0: 1, 1: 1}",1.0,1,1,linear,1,1,1,0,0,1,2,0,1,"{1: 1, 0: 1}",{0: 1},0.333333,ttdf_9c88a0d5bac6,train300,sqrt|add,topo_fdeb50f24873,1
1.0,0.0,4,4,4,0.5,"{0: 1, 1: 3}",1.0,1,1,linear,3,1,3,0,0,1,4,0,1,"{1: 3, 0: 1}",{0: 3},0.6,ttdf_4afe482200e9,train300,reciprocal_value|reduce_amount|reciprocal_value|round_down_whole,topo_5296967693d8,1
1.0,0.0,2,2,2,1.0,"{0: 1, 1: 1}",1.0,1,1,linear,1,1,1,0,0,1,2,0,1,"{1: 1, 0: 1}",{0: 1},0.125,ttdf_6664b63ddfd4,train300,mean_of_values|average_of_two,topo_fdeb50f24873,1
1.0,0.0,3,3,3,0.666667,"{0: 1, 1: 2}",1.0,1,1,linear,2,1,2,0,0,1,3,0,1,"{1: 2, 0: 1}",{0: 2},0.25,ttdf_e5021edcbcdb,train300,meters_to_km|quotient_of|append_to_values,topo_1c8dbe1830b2,1
1.0,0.0,3,3,3,0.666667,"{0: 1, 1: 2}",1.0,1,1,linear,2,1,2,0,0,1,3,0,1,"{1: 2, 0: 1}",{0: 2},0.285714,ttdf_663a6484d0e5,train300,seconds_to_full_minutes|ratio_of|append_to_values,topo_1c8dbe1830b2,1
2.0,0.25,4,3,3,0.5,"{0: 2, 1: 1, 2: 1}",0.0,2,1,fan_in,2,2,3,1,0,1,4,0,2,"{1: 3, 0: 1}",{0: 3},0.5,ttdf_3d16ba355ab3,train300,meters_to_km|percent_of|meters_to_km|percent_of,topo_30980484d6d7,1
2.0,0.166667,6+,5,5,0.333333,"{0: 2, 1: 3, 2: 1}",0.0,2,1,fan_in,4,2,5,1,0,1,6,0,2,"{1: 5, 0: 1}",{0: 5},0.5,ttdf_086b0471e443,train300,sqrt|ratio_of|negate|sum_two_numbers|difference_of_numbers|percentage_value,topo_926312b15db7,1
1.0,0.0,3,3,3,0.666667,"{0: 1, 1: 2}",1.0,1,1,linear,2,1,2,0,0,1,3,0,1,"{1: 2, 0: 1}",{0: 2},0.222222,ttdf_18f30aeb87df,train300,series_length|combine_amounts|shrink_by_rate,topo_1c8dbe1830b2,1
1.0,0.0,6+,6,6,0.333333,"{0: 1, 1: 5}",1.0,1,1,linear,5,1,5,0,0,1,6,0,1,"{1: 5, 0: 1}",{0: 5},0.357143,ttdf_8b6bd6e0d113,train300,mean_of_values|increase_by_percent|percentage_value|decrease_by_percent|ratio_of|nearest_integer,topo_02b29308ce2b,1
2.0,0.2,5,4,4,0.4,"{0: 2, 1: 2, 2: 1}",0.0,2,1,fan_in,3,2,4,1,0,1,5,0,2,"{1: 4, 0: 1}",{0: 4},0.5,ttdf_9e944e9be9ad,train300,celsius_to_fahrenheit|nearest_integer|divide|sum_two_numbers|build_tag,topo_7279e5f4b24a,1
1.0,0.0,2,2,2,1.0,"{0: 1, 1: 1}",1.0,1,1,linear,1,1,1,0,0,1,2,0,1,"{1: 1, 0: 1}",{0: 1},0.25,ttdf_702a492e1d93,train300,sqrt|is_within_range,topo_fdeb50f24873,1
1.0,0.0,2,2,2,1.0,"{0: 1, 1: 1}",1.0,1,1,linear,1,1,1,0,0,1,2,0,1,"{1: 1, 0: 1}",{0: 1},0.166667,ttdf_1b88e197cf8c,train300,series_spread|proportion_between,topo_fdeb50f24873,1
1.0,0.0,2,2,2,1.0,"{0: 1, 1: 1}",1.0,1,1,linear,1,1,1,0,0,1,2,0,1,"{1: 1, 0: 1}",{0: 1},0.2,ttdf_5e8ed8ea8e8c,train300,aggregate_total|grow_by_rate,topo_fdeb50f24873,1
2.0,0.25,4,3,3,0.5,"{0: 2, 1: 1, 2: 1}",0.0,2,1,fan_in,2,2,3,1,0,1,4,0,2,"{1: 3, 0: 1}",{0: 3},0.5,ttdf_feca9749fcb1,train300,celsius_to_fahrenheit|inverse|average_of_two|add,topo_5b37b75596d2,1
1.0,0.0,3,3,3,0.666667,"{0: 1, 1: 2}",1.0,1,1,linear,2,1,2,0,0,1,3,0,1,"{1: 2, 0: 1}",{0: 2},0.4,ttdf_404c1b18b8c7,train300,flip_sign|reduce_amount|midpoint_value,topo_1c8dbe1830b2,1
1.0,0.0,2,2,2,1.0,"{0: 1, 1: 1}",1.0,1,1,linear,1,1,1,0,0,1,2,0,1,"{1: 1, 0: 1}",{0: 1},0.333333,ttdf_1212887f9519,train300,nearest_integer|increase_by_percent,topo_fdeb50f24873,1
1.0,0.0,2,2,2,1.0,"{0: 1, 1: 1}",1.0,1,1,linear,1,1,1,0,0,1,2,0,1,"{1: 1, 0: 1}",{0: 1},0.333333,ttdf_1944101ba044,train300,square_value|is_divisible_by,topo_fdeb50f24873,1
1.0,0.0,2,2,2,1.0,"{0: 1, 1: 1}",1.0,1,1,linear,1,1,1,0,0,1,2,0,1,"{1: 1, 0: 1}",{0: 1},0.333333,ttdf_c4b9bd3d8f9b,train300,round_down_whole|proportion_between,topo_fdeb50f24873,1
1.0,0.0,5,5,5,0.4,"{0: 1, 1: 4}",1.0,1,1,linear,4,1,4,0,0,1,5,0,1,"{1: 4, 0: 1}",{0: 4},0.444444,ttdf_da8bde0dff1f,train300,trim_precision|round_down_whole|split_evenly|remaining_after|shrink_by_rate,topo_d228dd6db98a,1
2.0,0.2,5,4,4,0.4,"{0: 2, 1: 2, 2: 1}",0.0,2,1,fan_in,3,2,4,1,0,1,5,0,2,"{1: 4, 0: 1}",{0: 4},0.4,ttdf_33820d4ecd0d,train300,multiply|subtract|decrease_by_percent|subtract|label_with_unit,topo_7279e5f4b24a,1
1.0,0.0,2,2,2,1.0,"{0: 1, 1: 1}",1.0,1,1,linear,1,1,1,0,0,1,2,0,1,"{1: 1, 0: 1}",{0: 1},0.333333,ttdf_ab3e20f5b9f5,train300,square_value|average_of_two,topo_fdeb50f24873,1
2.0,0.333333,3,2,2,0.666667,"{0: 2, 2: 1}",0.0,2,1,fan_in,1,2,2,1,0,1,3,0,2,"{1: 2, 0: 1}",{0: 2},0.4,ttdf_adb0a11b7c8e,train300,seconds_to_full_minutes|percentage_value|absolute_difference,topo_911586a55488,1
2.0,0.333333,3,2,2,0.666667,"{0: 2, 2: 1}",0.0,2,1,fan_in,1,2,2,1,0,1,3,0,2,"{1: 2, 0: 1}",{0: 2},0.4,ttdf_7ac454e86368,train300,whole_number_of|leftover_after_grouping|proportion_between,topo_911586a55488,1
3.0,0.25,4,2,2,0.5,"{0: 3, 3: 1}",0.0,3,1,fan_in,1,3,3,1,0,1,4,0,3,"{1: 3, 0: 1}",{0: 3},0.375,ttdf_29bfff643f76,train300,reminder|absolute_difference|ceiling|sum_of_three,topo_64b2717a77dd,1
1.0,0.0,2,2,2,1.0,"{0: 1, 1: 1}",1.0,1,1,linear,1,1,1,0,0,1,2,0,1,"{1: 1, 0: 1}",{0: 1},0.333333,ttdf_626b144f651f,train300,multiply|sqrt,topo_fdeb50f24873,1
1.0,0.0,2,2,2,1.0,"{0: 1, 1: 1}",1.0,1,1,linear,1,1,1,0,0,1,2,0,1,"{1: 1, 0: 1}",{0: 1},0.333333,ttdf_709a6c29cef8,train300,round_up_whole|grow_by_rate,topo_fdeb50f24873,1
1.0,0.0,3,3,3,0.666667,"{0: 1, 1: 2}",1.0,1,1,linear,2,1,2,0,0,1,3,0,1,"{1: 2, 0: 1}",{0: 2},0.222222,ttdf_9ddbf3736946,train300,percent_of|whole_quotient|append_to_values,topo_1c8dbe1830b2,1
1.0,0.0,2,2,2,1.0,"{0: 1, 1: 1}",1.0,1,1,linear,1,1,1,0,0,1,2,0,1,"{1: 1, 0: 1}",{0: 1},0.25,ttdf_415f443311b4,train300,reminder|is_greater,topo_fdeb50f24873,1
2.0,0.2,5,4,4,0.4,"{0: 2, 1: 2, 2: 1}",0.0,2,1,fan_in,3,2,4,1,0,1,5,0,2,"{1: 4, 0: 1}",{0: 4},0.5,ttdf_1da08641a085,train300,seconds_from_minutes|seconds_from_minutes|portion_by_rate|portion_by_rate|total_of_pair,topo_2b041b861492,1
2.0,0.142857,6+,6,6,0.285714,"{0: 2, 1: 4, 2: 1}",0.0,2,1,fan_in,5,2,6,1,0,1,7,0,2,"{1: 6, 0: 1}",{0: 6},0.545455,ttdf_a7f57d6e2366,train300,increase_by_percent|inverse|absolute_difference|sqrt|percentage_value|hours_to_minutes|subtract,topo_e5fe9f153cd3,1
2.0,0.142857,6+,4,4,0.285714,"{0: 2, 1: 4, 2: 1}",0.0,2,1,fan_in,5,2,6,1,0,1,7,0,2,"{1: 6, 0: 1}",{0: 6},0.428571,ttdf_f143ef6a8d1a,train300,absolute_difference|whole_quotient|decrease_by_percent|percentage_value|whole_quotient|difference_of_numbers|add,topo_63f405a71afa,1
2.0,0.125,6+,5,5,0.25,"{0: 2, 1: 5, 2: 1}",0.0,2,1,fan_in,6,2,7,1,0,1,8,0,2,"{1: 7, 0: 1}",{0: 7},0.466667,ttdf_4bf9490a9e1e,train300,seconds_to_full_minutes|difference_of_numbers|average_of_two|average_of_two|average_of_two|decrease_by_percent|quotient_of|average_of_two,topo_bf579ac7c4b1,1
1.0,0.0,2,2,2,1.0,"{0: 1, 1: 1}",1.0,1,1,linear,1,1,1,0,0,1,2,0,1,"{1: 1, 0: 1}",{0: 1},0.2,ttdf_4fb15030a374,train300,percent_of|is_within_range,topo_fdeb50f24873,1
1.0,0.0,2,2,2,1.0,"{0: 1, 1: 1}",1.0,1,1,linear,1,1,1,0,0,1,2,0,1,"{1: 1, 0: 1}",{0: 1},0.333333,ttdf_3bd0f2ffa9c7,train300,parse_numeric_text|format_number_fixed,topo_fdeb50f24873,1
3.0,0.2,5,3,3,0.4,"{0: 3, 1: 1, 3: 1}",0.0,3,1,fan_in,2,3,4,1,0,1,5,0,3,"{1: 4, 0: 1}",{0: 4},0.363636,ttdf_a007fb88e5a8,train300,percent_of|reminder|increase_by_percent|round_to_decimals|mean_of_three,topo_926c72bac680,1
2.0,0.333333,3,2,2,0.666667,"{0: 2, 2: 1}",0.0,2,1,fan_in,1,2,2,1,0,1,3,0,2,"{1: 2, 0: 1}",{0: 2},0.4,ttdf_095955eab09a,train300,total_of_pair|round_up_whole|scale_quantity,topo_911586a55488,1
2.0,0.142857,6+,5,5,0.285714,"{0: 2, 1: 4, 2: 1}",0.0,2,1,fan_in,5,2,6,1,0,1,7,0,2,"{1: 6, 0: 1}",{0: 6},0.461538,ttdf_ebcc48b28d17,train300,midpoint_value|pairwise_product|round_up_whole|full_groups_of|grow_by_rate|pairwise_product|proportion_between,topo_9e01698159b0,1
1.0,0.0,2,2,2,1.0,"{0: 1, 1: 1}",1.0,1,1,linear,1,1,1,0,0,1,2,0,1,"{1: 1, 0: 1}",{0: 1},0.125,ttdf_69b205909ba2,train300,mean_of_values|is_within_range,topo_fdeb50f24873,1
