task_id,gold_call_count,gold_motif,gold_first_tool,C0_win,E1_win,E2_win,C0_failure,E1_failure,E2_failure,C0_num_calls,E1_num_calls,E2_num_calls,C0_first_tool,E1_first_tool,E2_first_tool,C0_executable,E1_executable,E2_executable,transition
037ab7a7-2503-4a04-9bde-f2d81c184790,4,fan_in,multiply,False,True,True,"correct keys, wrong argument values",success,success,2,2,1,multiply,multiply,divide,True,True,True,gained_E1_kept_E2
038d6798-cb67-4083-8293-acf7a4719d36,6,long_chain,multiply,False,False,False,"correct keys, wrong argument values","correct keys, wrong argument values",executable trajectory ending wrong result,7,7,6,multiply,multiply,multiply,True,True,False,stable_loss
038f3d86-b97b-49e6-b878-1b80c73fb744,2,linear_dependency,divide,False,False,False,"correct keys, wrong argument values","correct keys, wrong argument values","correct keys, wrong argument values",1,1,1,multiply,multiply,multiply,True,True,True,stable_loss
04738948-d434-4928-9552-85c7d887353a,4,fan_in,divide,True,True,True,success,success,success,5,4,5,divide,divide,divide,True,True,True,stable_win
047fb639-ca36-4a73-9407-507b8c3b4c5d,2,linear_dependency,add,False,False,False,wrong tool,wrong tool,wrong tool,2,2,2,multiply,multiply,multiply,True,True,True,stable_loss
04833334-0a98-443d-b24e-41b78da083b1,2,linear_dependency,divide,True,True,True,success,success,success,3,3,3,multiply,multiply,multiply,True,True,True,stable_win
04bd68f8-3e77-4cda-b43f-c42616d95d33,3,fan_in,subtract,True,True,True,success,success,success,1,3,3,divide,subtract,subtract,True,True,True,stable_win
04d81d58-98bf-4665-87aa-6eed765ce6f0,7,long_chain,multiply,False,False,False,no tool call,no tool call,no tool call,0,0,0,,,,False,False,False,stable_loss
056e78aa-e183-4205-95b9-e527e36055a3,2,linear_dependency,compute_sha256_hex,False,False,False,parse/format error,parse/format error,parse/format error,0,0,0,,,,False,False,False,stable_loss
05701016-377a-4a7f-aa60-696c65010e5b,2,linear_dependency,detokenize,True,True,True,success,success,success,2,2,2,detokenize,detokenize,detokenize,True,True,True,stable_win
05ac6aae-4022-49c9-ad2e-f89dcb79be11,4,fan_in,add,True,True,True,success,success,success,5,5,5,divide,divide,divide,True,True,True,stable_win
05b1bdbd-de3f-4773-b867-990b6006aef2,2,linear_dependency,subtract,True,True,True,success,success,success,2,2,2,divide,divide,divide,True,True,True,stable_win
05e066ff-e829-4ff9-b8fe-a9bf5264c2a2,2,linear_dependency,divide,False,False,False,executable trajectory ending wrong result,no tool call,no tool call,1,0,0,divide,,,False,False,False,stable_loss
05ec87ae-0659-42c3-82e8-a0645c4a70df,4,linear_dependency,divide,True,True,True,success,success,success,2,2,2,divide,divide,divide,True,True,True,stable_win
06396ffd-3356-4f13-bcbd-856ba2910e4d,4,fan_in,multiply,True,True,True,success,success,success,4,4,4,multiply,multiply,multiply,True,True,True,stable_win
063dea57-8a7e-47e2-a00b-db0d4a708fa1,6,long_chain,divide,False,False,False,"correct keys, wrong argument values","correct keys, wrong argument values","correct keys, wrong argument values",3,3,3,multiply,multiply,multiply,True,True,True,stable_loss
063fea0b-8980-4c38-b196-3121c69c8671,3,linear_dependency,subtract,True,True,True,success,success,success,2,2,2,multiply,multiply,multiply,True,True,True,stable_win
0648f2f5-1f1c-4c26-8ff4-de4307ff9ae7,3,linear_dependency,subtract,True,True,True,success,success,success,2,2,2,divide,divide,divide,True,True,True,stable_win
064e9802-1efb-452f-9e16-22dcb17606a9,5,long_chain,multiply,False,False,False,wrong tool,no tool call,no tool call,6,0,0,multiply,,,True,False,False,stable_loss
06706b83-4657-4e2c-b372-af1d826f1b6e,2,linear_dependency,replace_title,True,True,True,success,success,success,2,2,2,replace_title,replace_title,replace_title,True,True,True,stable_win
06da593d-833c-457a-a042-343e08425e0c,2,linear_dependency,multiply,True,True,True,success,success,success,2,2,2,multiply,multiply,multiply,True,True,True,stable_win
071bf373-5abf-402a-86c8-7458eec02243,3,fan_in,divide,True,True,True,success,success,success,1,1,1,divide,divide,divide,True,True,True,stable_win
072f5a5e-dddd-407b-b641-6121f1cc8b87,2,linear_dependency,substring_from_index,False,False,False,executable trajectory ending wrong result,executable trajectory ending wrong result,executable trajectory ending wrong result,2,2,2,substring_from_index,substring_from_index,substring_from_index,False,False,False,stable_loss
07341e6a-f838-45df-b83e-1ed142ffa487,7,long_chain,subtract,True,True,True,success,success,success,4,2,2,divide,multiply,multiply,True,True,True,stable_win
07421ac8-4030-4262-a84f-8f2ef84d6010,2,linear_dependency,add_and_shift,True,False,False,success,executable trajectory ending wrong result,executable trajectory ending wrong result,2,2,2,add_and_shift,add_and_shift,add_and_shift,True,False,False,lost_after_E1
075cbdb6-b1d3-426a-8d6c-0bd706d6cf5a,3,linear_dependency,subtract,True,True,True,success,success,success,2,2,2,divide,divide,divide,True,True,True,stable_win
07a9a371-6afa-4c46-ad60-3deeea19e0f9,2,linear_dependency,factorial_with_int_division,True,False,True,success,executable trajectory ending wrong result,success,2,2,2,factorial_with_int_division,factorial_with_int_division,factorial_with_int_division,True,False,True,lost_E1_regained_E2
07d3dbd1-5b23-499b-abf7-de415450280f,3,linear_dependency,divide,True,True,True,success,success,success,3,3,3,divide,divide,divide,True,True,True,stable_win
07df2ad6-7ac0-4c6a-b79a-0b02782d0235,36,long_chain,add,False,False,False,wrong tool,wrong tool,wrong tool,3,3,2,divide,divide,multiply,True,True,True,stable_loss
081ad64a-4bb8-4a0c-b2df-c21b7bc8cc35,5,long_chain,multiply,False,False,False,no tool call,no tool call,no tool call,0,0,0,,,,False,False,False,stable_loss
085ee854-a8f1-483e-a7d9-1f19402046f3,7,long_chain,subtract,False,False,False,wrong tool,wrong tool,no tool call,1,3,0,add,multiply,,True,True,False,stable_loss
08948f35-7eef-49b4-abd6-4dda3f56f0f3,3,linear_dependency,divide,True,True,True,success,success,success,3,3,3,divide,divide,divide,True,True,True,stable_win
08cd84c5-99cc-4dab-ae0d-0d62e3491865,2,linear_dependency,subtract,True,True,True,success,success,success,1,1,1,divide,divide,divide,True,True,True,stable_win
091b5d2a-206a-4ac4-81df-754ec6393b92,2,linear_dependency,madlib_transformer,False,False,False,"correct trajectory, wrong final answer","correct trajectory, wrong final answer","correct trajectory, wrong final answer",2,2,2,madlib_transformer,madlib_transformer,madlib_transformer,True,True,True,stable_loss
09737368-d88d-472c-9588-d0c387bbcc1b,11,long_chain,divide,True,True,True,success,success,success,7,6,7,multiply,multiply,multiply,True,True,True,stable_win
09906ab5-1606-4725-82a2-39329768c4d7,2,linear_dependency,map_boolean_to_binary_representation,False,True,False,"correct keys, wrong argument values",success,"correct keys, wrong argument values",3,3,3,map_boolean_to_binary_representation,map_boolean_to_binary_representation,map_boolean_to_binary_representation,True,True,True,gained_after_E1_lost_E2
0a126d0d-6cfc-4370-b0e1-765cae294529,5,long_chain,multiply,False,False,False,no tool call,no tool call,no tool call,0,0,0,,,,False,False,False,stable_loss
0a31a4fd-fc27-4339-80b7-9a07e32f60d0,3,fan_in,subtract,False,True,True,wrong tool,success,success,3,4,4,inverse,divide,divide,True,True,True,gained_E1_kept_E2
0a5bee61-0e2f-49fc-a0d1-e303c980f6de,7,long_chain,multiply,False,False,False,executable trajectory ending wrong result,executable trajectory ending wrong result,executable trajectory ending wrong result,2,2,2,sqrt,sqrt,sqrt,False,False,False,stable_loss
0a78c579-29ef-4c96-918c-e8df417194dc,4,fan_in,divide,True,True,True,success,success,success,4,5,4,divide,divide,divide,True,True,True,stable_win
0ab5c7ba-2c53-4207-af42-6c1ce32aac9b,9,long_chain,divide,False,False,False,"correct keys, wrong argument values",wrong tool,"correct keys, wrong argument values",4,2,3,multiply,multiply,multiply,True,True,True,stable_loss
0acb0dee-55be-47d6-8bc6-8cceba632ecc,3,linear_dependency,multiply,False,False,False,parse/format error,parse/format error,parse/format error,0,0,0,,,,False,False,False,stable_loss
0ad0e667-db2a-4513-8cf6-34ce21840bca,3,linear_dependency,subtract,False,False,False,no tool call,no tool call,no tool call,0,0,0,,,,False,False,False,stable_loss
0af2696a-9970-4e55-ad31-57e14ca65f20,4,fan_in,subtract,False,True,True,executable trajectory ending wrong result,success,success,4,3,3,divide,divide,divide,False,True,True,gained_E1_kept_E2
0b134f1e-5e3d-4ebc-8f4d-d02b8b372bfa,4,fan_in,add,False,False,False,"correct keys, wrong argument values","correct keys, wrong argument values","correct keys, wrong argument values",2,2,2,add,add,add,True,True,True,stable_loss
0b64e26d-d18e-4ec6-8d97-4746b387b377,7,long_chain,multiply,True,True,True,success,success,success,5,2,5,multiply,multiply,multiply,True,True,True,stable_win
0b801791-fd2b-42ee-9c06-01ee900e065f,4,linear_dependency,divide,False,False,False,wrong tool,wrong tool,wrong tool,1,1,1,power,power,power,True,True,True,stable_loss
0b84b61f-8ee3-443f-a2f6-120462682951,3,linear_dependency,divide,True,True,True,success,success,success,3,3,3,divide,divide,divide,True,True,True,stable_win
0b8c39be-fcda-4d8c-b2d9-710a48d8d955,4,linear_dependency,add,False,False,False,wrong tool,wrong tool,wrong tool,3,3,3,multiply,multiply,multiply,True,True,True,stable_loss
0b9639f5-37a5-4904-8e92-fb6f377082f9,2,linear_dependency,gen_random_str_with_lower_case,False,False,False,"correct tool, wrong argument keys","correct tool, wrong argument keys","correct tool, wrong argument keys",2,2,2,gen_random_str_with_lower_case,gen_random_str_with_lower_case,gen_random_str_with_lower_case,True,True,True,stable_loss
0ba3858e-3c4a-4c19-8796-c2e1c2c9459e,4,fan_in,add,False,False,False,wrong tool,wrong tool,"correct trajectory, wrong final answer",2,2,2,multiply,multiply,multiply,True,True,False,stable_loss
0ba7094f-2d50-457b-9db1-af4dcb4d7bc8,2,linear_dependency,coin_toss_experiment,False,False,False,parse/format error,parse/format error,parse/format error,0,0,0,,,,False,False,False,stable_loss
0baca5f1-6810-42b0-a9b4-051f76316bf1,5,long_chain,inverse,True,True,True,success,success,success,1,1,1,divide,divide,divide,True,True,True,stable_win
0bb06ff9-8b0e-4eba-ae38-7dbab0ccc741,2,linear_dependency,create_list,False,False,False,executable trajectory ending wrong result,executable trajectory ending wrong result,executable trajectory ending wrong result,2,2,2,create_list,create_list,create_list,False,False,False,stable_loss
0be5f136-0c70-4904-b5a9-2e7be2edafd8,3,linear_dependency,subtract,False,False,False,too few calls,too few calls,too few calls,2,2,2,subtract,subtract,subtract,True,True,True,stable_loss
0be783b8-30c8-4b6d-a8cd-100d6e4a999d,4,linear_dependency,subtract,False,False,True,"correct keys, wrong argument values",executable trajectory ending wrong result,success,3,2,4,multiply,multiply,multiply,True,False,True,gained_after_E2_only
0c1474f0-aebe-49d2-ae89-2ecd437fd188,2,linear_dependency,initialize_list,False,False,False,executable trajectory ending wrong result,executable trajectory ending wrong result,executable trajectory ending wrong result,2,2,2,initialize_list,initialize_list,initialize_list,False,False,False,stable_loss
0c2bb42b-09bd-41c8-b1c3-a3e0aec4c077,3,linear_dependency,add,True,False,False,success,wrong tool,no tool call,1,3,0,divide,subtract,,True,True,False,lost_after_E1
0c3f5a6d-1aec-4d52-9310-c0e0ab651fef,2,linear_dependency,add,True,True,False,success,success,no tool call,2,2,0,add,add,,True,True,False,gained_E1_lost_E2
0c5881b2-9556-42dd-8922-00d35a26becd,2,linear_dependency,divide,True,True,True,success,success,success,2,2,2,divide,divide,divide,True,True,True,stable_win
0ca2e361-39c1-4889-b296-cf1963a11a42,3,fan_in,subtract,False,False,False,"correct keys, wrong argument values","correct keys, wrong argument values",wrong tool,1,1,2,divide,divide,multiply,True,True,True,stable_loss
0cea3214-8bbb-443a-943e-de9038f8b5f9,2,linear_dependency,repeat_str,False,False,False,executable trajectory ending wrong result,parse/format error,executable trajectory ending wrong result,2,0,2,repeat_str,,repeat_str,False,False,False,stable_loss
0d266b2a-325c-4cdb-9615-28475d4e2d37,2,linear_dependency,add,True,True,True,success,success,success,2,2,2,add,add,add,True,True,True,stable_win
0d3a8c3b-1f90-4d60-8cb7-370965a70b93,6,long_chain,add,False,False,False,executable trajectory ending wrong result,executable trajectory ending wrong result,"correct keys, wrong argument values",1,1,2,multiply,multiply,multiply,False,False,True,stable_loss
0d77d7ab-46ff-419f-882f-a34511651f6a,2,linear_dependency,find_substrings,False,False,False,executable trajectory ending wrong result,executable trajectory ending wrong result,executable trajectory ending wrong result,2,2,2,find_substrings,find_substrings,find_substrings,False,False,False,stable_loss
0e370f74-67af-4218-a65f-8f39d4562c48,4,fan_in,multiply,False,False,False,no tool call,wrong tool,wrong tool,0,4,5,,speed,add,False,True,True,stable_loss
0ea2de11-7f2c-45ef-a7f9-cd7ae540bcb7,2,linear_dependency,hex_format,False,False,False,"correct keys, wrong argument values","correct keys, wrong argument values","correct keys, wrong argument values",3,3,3,hex_format,hex_format,hex_format,True,True,True,stable_loss
0eb6128c-ee7e-4e72-93be-6045b8ded248,3,fan_in,multiply,False,False,False,wrong tool,wrong tool,wrong tool,3,3,3,inverse,inverse,inverse,True,True,True,stable_loss
0ecf337f-9422-47ab-866a-5c45464dd128,2,linear_dependency,remove_timezone,True,True,True,success,success,success,2,2,2,remove_timezone,remove_timezone,remove_timezone,True,True,True,stable_win
0edcb8a5-990e-4830-b55e-f920ac2ec474,11,long_chain,divide,True,True,True,success,success,success,2,5,3,divide,subtract,inverse,True,True,True,stable_win
0ef8ad41-e5ac-47dc-bc73-3ff7e647aa7e,3,linear_dependency,subtract,False,False,False,"correct keys, wrong argument values","correct keys, wrong argument values","correct keys, wrong argument values",1,1,1,multiply,multiply,multiply,True,True,True,stable_loss
0f0a365f-d57e-4682-891b-b43b9d244d33,2,linear_dependency,sqrt_rounded,True,False,True,success,"correct keys, wrong argument values",success,2,3,2,sqrt_rounded,sqrt_rounded,sqrt_rounded,True,True,True,lost_E1_regained_E2
0f0b7dac-2c2a-4919-8b62-41b964f06856,5,long_chain,add,False,True,True,executable trajectory ending wrong result,success,success,6,6,6,multiply,multiply,multiply,False,True,True,gained_E1_kept_E2
0f1d3aca-4e40-45a9-b1e8-9ef76e1e1cd2,4,linear_dependency,add,False,True,False,"correct keys, wrong argument values",success,executable trajectory ending wrong result,3,4,3,add,add,add,True,True,False,gained_after_E1_lost_E2
0f4234c1-7508-46d2-85b3-6f659be4a9e5,5,long_chain,add,True,True,True,success,success,success,3,3,3,speed,speed,speed,True,True,True,stable_win
0f5b1aaf-4c8d-43bb-b3eb-ccae2cdb723f,4,fan_in,subtract,False,False,False,"correct keys, wrong argument values","correct keys, wrong argument values","correct keys, wrong argument values",2,2,2,divide,divide,divide,True,True,True,stable_loss
0f94497b-462b-4f7f-bb8b-6af1c6af2177,2,linear_dependency,skew_symmetric_matrix,True,True,True,success,success,success,2,2,2,skew_symmetric_matrix,skew_symmetric_matrix,skew_symmetric_matrix,True,True,True,stable_win
0fb74912-8660-495e-9cad-a36ef86fedd5,8,long_chain,add,True,False,True,success,parse/format error,success,4,1,4,subtract,subtract,subtract,True,True,True,lost_E1_regained_E2
0fcd0f80-2059-4e14-ba8f-04a89cb13ec8,5,long_chain,multiply,True,True,True,success,success,success,1,1,1,subtract,subtract,subtract,True,True,True,stable_win
0feb53d5-e450-4a1e-b0ad-13bc7097a92e,12,long_chain,divide,True,True,True,success,success,success,6,6,6,multiply,multiply,multiply,True,True,True,stable_win
100cb8c9-03ec-428f-ad0c-75e2fc296aaa,3,linear_dependency,divide,False,False,False,wrong tool,"correct keys, wrong argument values","correct keys, wrong argument values",4,4,4,divide,divide,divide,True,True,True,stable_loss
1067e243-98e4-448a-a38b-2d916c16908a,5,long_chain,divide,False,False,False,parse/format error,parse/format error,parse/format error,1,1,1,multiply,multiply,multiply,True,True,True,stable_loss
10994d45-1097-43fa-965c-6cbdd1f7a2a0,3,fan_in,multiply,True,True,True,success,success,success,2,2,2,multiply,multiply,multiply,True,True,True,stable_win
10aa0352-2637-4415-b75e-e8e202f11a05,21,long_chain,divide,False,False,False,wrong tool,"correct keys, wrong argument values",wrong tool,22,11,2,multiply,multiply,multiply,True,True,True,stable_loss
10bd4232-f4bd-49a8-9992-ead6f447300e,6,long_chain,subtract,True,True,True,success,success,success,2,2,2,multiply,multiply,multiply,True,True,True,stable_win
115e0164-7c78-42bc-9fd9-9ef06892325b,4,fan_in,divide,True,True,True,success,success,success,3,3,3,divide,divide,divide,True,True,True,stable_win
1163aa42-d931-4ae3-a9af-3800e1200319,19,long_chain,divide,True,True,True,success,success,success,2,2,2,divide,divide,divide,True,True,True,stable_win
117281b4-527c-4b81-aa5c-3395570d916b,2,linear_dependency,square_root_list,True,True,True,success,success,success,2,2,2,square_root_list,square_root_list,square_root_list,True,True,True,stable_win
117d6a34-b155-4ecb-92ee-c6764b4ed3ad,3,linear_dependency,multiply,False,True,False,executable trajectory ending wrong result,success,executable trajectory ending wrong result,3,3,3,multiply,multiply,multiply,False,True,False,gained_after_E1_lost_E2
119e58ab-5500-4e2d-bc53-bf4b4797ad3d,10,long_chain,multiply,True,True,True,success,success,success,3,3,3,multiply,multiply,multiply,True,True,True,stable_win
11a47ffa-0eea-4162-9902-1bddc3740bec,3,fan_in,multiply,False,False,True,no tool call,no tool call,success,0,0,3,,,divide,False,False,True,gained_after_E2_only
11be58dc-0879-4cb5-8059-1f419f0e9d2b,3,linear_dependency,divide,False,False,False,no tool call,no tool call,no tool call,0,0,0,,,,False,False,False,stable_loss
123ce206-69a4-4901-93c1-ec1089eb8660,6,long_chain,sqrt,False,True,True,wrong tool,success,success,1,3,3,sqrt,sqrt,sqrt,True,True,True,gained_E1_kept_E2
124ed3aa-ed76-4e5c-9ab9-92ddd06962e8,2,linear_dependency,move_negatives,False,False,False,executable trajectory ending wrong result,executable trajectory ending wrong result,executable trajectory ending wrong result,2,2,2,move_negatives,move_negatives,move_negatives,False,False,False,stable_loss
125c4ba6-7e51-43d0-9c29-3a03565bf06d,3,linear_dependency,divide,False,False,False,no tool call,no tool call,no tool call,0,0,0,,,,False,False,False,stable_loss
127a6fdd-24ca-4bfb-841c-3e1d9605dc1e,5,long_chain,divide,True,True,True,success,success,success,5,5,5,divide,divide,divide,True,True,True,stable_win
127bde39-c109-4e4b-9bbd-8351becff7a6,2,linear_dependency,string_join,True,True,True,success,success,success,2,2,2,string_join,string_join,string_join,True,True,True,stable_win
12b16d2a-7804-4be3-b278-86320411678e,5,long_chain,subtract,False,False,False,wrong tool,wrong tool,wrong tool,1,1,1,multiply,multiply,multiply,True,True,True,stable_loss
12dc2f74-7b39-4722-a840-bca49488c27e,8,long_chain,subtract,False,False,True,"correct keys, wrong argument values","correct keys, wrong argument values",success,4,9,2,multiply,multiply,multiply,True,True,True,gained_after_E2_only
12e54ca0-6b81-4bff-8d11-49da5280d283,2,linear_dependency,convert_radian_to_degree,True,True,True,success,success,success,2,2,2,convert_radian_to_degree,convert_radian_to_degree,convert_radian_to_degree,True,True,True,stable_win
1310e585-1996-4df5-93f4-9f0b5a0838fd,3,fan_in,multiply,True,True,True,success,success,success,1,1,1,multiply,multiply,multiply,True,True,True,stable_win
13437262-d59c-448d-91eb-317a79a99477,12,long_chain,divide,False,False,False,wrong tool,wrong tool,wrong tool,1,1,1,divide,divide,divide,True,True,True,stable_loss
139b3427-bcac-4e67-aa20-de8bd3ad996b,5,long_chain,subtract,False,False,False,no tool call,no tool call,no tool call,0,0,0,,,,False,False,False,stable_loss
13cbad3d-d768-4d4d-bfce-542b6af4c28c,2,linear_dependency,multiply,True,True,True,success,success,success,2,2,2,multiply,multiply,multiply,True,True,True,stable_win
13ccade6-a862-4e14-aab5-f3e0baca0a5e,2,linear_dependency,convert_to_HHMMSS,True,True,True,success,success,success,2,2,2,convert_to_HHMMSS,convert_to_HHMMSS,convert_to_HHMMSS,True,True,True,stable_win
13ce6625-e8fe-4415-8615-3522f86f0c1e,3,linear_dependency,remove_punctuation_and_lowercase,True,True,True,success,success,success,3,3,3,remove_punctuation_and_lowercase,remove_punctuation_and_lowercase,remove_punctuation_and_lowercase,True,True,True,stable_win
13d0e964-c728-4490-8094-0b2ec84a6f40,2,linear_dependency,multiply,False,False,False,wrong tool,wrong tool,executable trajectory ending wrong result,3,3,2,add,add,multiply,True,True,False,stable_loss
13d599b3-0a9f-4856-8fbf-2fd376400988,3,linear_dependency,check_list_for_value,False,False,False,"correct trajectory, wrong final answer",executable trajectory ending wrong result,executable trajectory ending wrong result,3,3,3,check_list_for_value,check_list_for_value,check_list_for_value,True,False,False,stable_loss
13fe18cf-12c6-4ab2-9c70-07825b256fcf,4,fan_in,divide,False,False,False,wrong tool,wrong tool,wrong tool,5,5,5,add,add,add,True,True,True,stable_loss
140ab128-b764-44f4-808c-0bf1f14ab4fd,9,long_chain,add,False,False,False,"correct keys, wrong argument values",parse/format error,"correct keys, wrong argument values",5,0,5,multiply,,multiply,True,False,True,stable_loss
141c02ac-0e10-4b84-8fee-d2c6d9878ff1,2,linear_dependency,multiply,False,False,False,"correct keys, wrong argument values","correct keys, wrong argument values",wrong tool,3,3,3,multiply,multiply,multiply,True,True,True,stable_loss
147ffda7-4f8d-49e7-b4d7-799e4e43d10a,4,fan_in,subtract,False,False,False,no tool call,no tool call,no tool call,0,0,0,,,,False,False,False,stable_loss
1486b674-af4e-4bd4-9a48-2bf0f4aa9995,7,long_chain,multiply,True,False,False,success,wrong tool,wrong tool,2,1,1,multiply,multiply,multiply,True,True,True,lost_after_E1
14c6e9be-72f7-4a6c-9d36-6f165f14b1cc,3,linear_dependency,divide,True,True,True,success,success,success,1,1,1,divide,divide,divide,True,True,True,stable_win
14dcf34c-1e76-4163-ae1e-b5d073ab2e30,2,linear_dependency,convert_from_srm_to_rgb,False,False,False,executable trajectory ending wrong result,executable trajectory ending wrong result,executable trajectory ending wrong result,2,2,2,convert_from_srm_to_rgb,convert_from_srm_to_rgb,convert_from_srm_to_rgb,False,False,False,stable_loss
1522c983-00c5-48b6-be88-8922f76c3dbe,2,linear_dependency,divide,False,True,True,parse/format error,success,success,0,2,2,,multiply,multiply,False,True,True,gained_E1_kept_E2
152ba32e-de73-44e6-acaa-0dc2a21a3a79,6,long_chain,divide,False,False,False,executable trajectory ending wrong result,"correct keys, wrong argument values",executable trajectory ending wrong result,1,2,1,multiply,multiply,multiply,False,True,False,stable_loss
15475c99-4877-45c2-acb6-82b1b8fda842,4,fan_in,divide,True,True,True,success,success,success,3,3,3,add,add,add,True,True,True,stable_win
1570d37f-b2c3-460c-867e-354c972965ba,2,linear_dependency,multiply,True,True,True,success,success,success,2,2,2,multiply,multiply,multiply,True,True,True,stable_win
1579051b-d62f-4e93-9c54-e5d68fb14f1c,2,linear_dependency,lcm,False,False,False,wrong tool,wrong tool,wrong tool,3,3,3,lcm,lcm,lcm,True,True,True,stable_loss
15b677c0-9517-49fc-a660-630caafe5a8d,6,long_chain,divide,False,False,False,"correct keys, wrong argument values","correct keys, wrong argument values","correct keys, wrong argument values",2,2,2,divide,divide,divide,True,True,True,stable_loss
15c44ed2-3566-4319-b273-97c4c86fee73,5,long_chain,multiply,False,False,False,wrong tool,wrong tool,wrong tool,2,2,2,multiply,multiply,multiply,True,True,True,stable_loss
15cb5396-99d3-43fb-a781-496349778973,5,long_chain,divide,True,True,True,success,success,success,2,2,3,power,power,multiply,True,True,True,stable_win
